# solver	iter	max-congestion	stddev
ecmp	0	0.626457	0.000000
ecmp	1	0.614944	0.000000
ecmp	2	0.750810	0.000000
ecmp	3	0.657314	0.000000
ecmp	4	0.590769	0.000000
ecmp	5	0.632012	0.000000
ecmp	6	0.579496	0.000000
ecmp	7	0.584727	0.000000
ecmp	8	0.617879	0.000000
ecmp	9	0.645786	0.000000
ecmp	10	0.658182	0.000000
ecmp	11	0.669348	0.000000
ecmp	12	0.718245	0.000000
ecmp	13	0.732907	0.000000
ecmp	14	0.741752	0.000000
ecmp	15	0.661296	0.000000
ecmp	16	0.657716	0.000000
ecmp	17	0.760992	0.000000
ecmp	18	0.779738	0.000000
ecmp	19	0.807133	0.000000
ecmp	20	0.820671	0.000000
ecmp	21	0.765588	0.000000
ecmp	22	0.818022	0.000000
ecmp	23	0.829782	0.000000
ksp	0	0.523170	0.000000
ksp	1	0.513556	0.000000
ksp	2	0.756360	0.000000
ksp	3	0.662220	0.000000
ksp	4	0.595179	0.000000
ksp	5	0.636754	0.000000
ksp	6	0.583857	0.000000
ksp	7	0.589126	0.000000
ksp	8	0.622521	0.000000
ksp	9	0.650588	0.000000
ksp	10	0.662990	0.000000
ksp	11	0.674243	0.000000
ksp	12	0.723497	0.000000
ksp	13	0.738291	0.000000
ksp	14	0.747186	0.000000
ksp	15	0.666208	0.000000
ksp	16	0.662601	0.000000
ksp	17	0.766650	0.000000
ksp	18	0.785545	0.000000
ksp	19	0.813136	0.000000
ksp	20	0.826795	0.000000
ksp	21	0.771213	0.000000
ksp	22	0.824006	0.000000
ksp	23	0.835863	0.000000
mcf	0	0.400000	0.000000
mcf	1	0.393325	0.000000
mcf	2	0.753038	0.000000
mcf	3	0.661424	0.000000
mcf	4	0.587798	0.000000
mcf	5	0.630413	0.000000
mcf	6	0.579231	0.000000
mcf	7	0.579516	0.000000
mcf	8	0.613142	0.000000
mcf	9	0.641115	0.000000
mcf	10	0.656375	0.000000
mcf	11	0.667498	0.000000
mcf	12	0.716107	0.000000
mcf	13	0.725855	0.000000
mcf	14	0.738006	0.000000
mcf	15	0.668759	0.000000
mcf	16	0.659571	0.000000
mcf	17	0.763330	0.000000
mcf	18	0.779219	0.000000
mcf	19	0.805239	0.000000
mcf	20	0.813236	0.000000
mcf	21	0.763726	0.000000
mcf	22	0.817035	0.000000
mcf	23	0.836566	0.000000
raeke	0	0.526029	0.000000
raeke	1	0.516439	0.000000
raeke	2	0.759239	0.000000
raeke	3	0.686663	0.000000
raeke	4	0.617450	0.000000
raeke	5	0.661579	0.000000
raeke	6	0.605702	0.000000
raeke	7	0.611138	0.000000
raeke	8	0.645933	0.000000
raeke	9	0.674928	0.000000
raeke	10	0.688465	0.000000
raeke	11	0.699411	0.000000
raeke	12	0.750700	0.000000
raeke	13	0.765967	0.000000
raeke	14	0.774774	0.000000
raeke	15	0.691922	0.000000
raeke	16	0.686934	0.000000
raeke	17	0.794746	0.000000
raeke	18	0.816280	0.000000
raeke	19	0.843428	0.000000
raeke	20	0.857348	0.000000
raeke	21	0.799571	0.000000
raeke	22	0.855932	0.000000
raeke	23	0.866542	0.000000
semimcfecmp	0	0.626175	0.000000
semimcfecmp	1	0.614572	0.000000
semimcfecmp	2	0.750831	0.000000
semimcfecmp	3	0.687088	0.000000
semimcfecmp	4	0.617531	0.000000
semimcfecmp	5	0.660689	0.000000
semimcfecmp	6	0.605822	0.000000
semimcfecmp	7	0.611279	0.000000
semimcfecmp	8	0.645936	0.000000
semimcfecmp	9	0.675132	0.000000
semimcfecmp	10	0.687947	0.000000
semimcfecmp	11	0.699583	0.000000
semimcfecmp	12	0.750689	0.000000
semimcfecmp	13	0.766062	0.000000
semimcfecmp	14	0.775250	0.000000
semimcfecmp	15	0.691134	0.000000
semimcfecmp	16	0.687391	0.000000
semimcfecmp	17	0.795321	0.000000
semimcfecmp	18	0.814950	0.000000
semimcfecmp	19	0.843577	0.000000
semimcfecmp	20	0.857740	0.000000
semimcfecmp	21	0.800024	0.000000
semimcfecmp	22	0.854799	0.000000
semimcfecmp	23	0.867083	0.000000
semimcfksp	0	0.400000	0.000000
semimcfksp	1	0.393325	0.000000
semimcfksp	2	0.764866	0.000000
semimcfksp	3	0.687088	0.000000
semimcfksp	4	0.617531	0.000000
semimcfksp	5	0.660689	0.000000
semimcfksp	6	0.605822	0.000000
semimcfksp	7	0.611279	0.000000
semimcfksp	8	0.645936	0.000000
semimcfksp	9	0.675132	0.000000
semimcfksp	10	0.687947	0.000000
semimcfksp	11	0.699583	0.000000
semimcfksp	12	0.750689	0.000000
semimcfksp	13	0.766062	0.000000
semimcfksp	14	0.775250	0.000000
semimcfksp	15	0.691134	0.000000
semimcfksp	16	0.687391	0.000000
semimcfksp	17	0.795321	0.000000
semimcfksp	18	0.814950	0.000000
semimcfksp	19	0.843577	0.000000
semimcfksp	20	0.857740	0.000000
semimcfksp	21	0.800024	0.000000
semimcfksp	22	0.854799	0.000000
semimcfksp	23	0.867083	0.000000
semimcfmcf	0	0.400000	0.000000
semimcfmcf	1	0.393325	0.000000
semimcfmcf	2	0.752991	0.000000
semimcfmcf	3	0.686930	0.000000
semimcfmcf	4	0.617650	0.000000
semimcfmcf	5	0.660629	0.000000
semimcfmcf	6	0.605785	0.000000
semimcfmcf	7	0.611240	0.000000
semimcfmcf	8	0.645978	0.000000
semimcfmcf	9	0.675058	0.000000
semimcfmcf	10	0.688013	0.000000
semimcfmcf	11	0.699512	0.000000
semimcfmcf	12	0.750676	0.000000
semimcfmcf	13	0.766147	0.000000
semimcfmcf	14	0.775250	0.000000
semimcfmcf	15	0.691123	0.000000
semimcfmcf	16	0.687391	0.000000
semimcfmcf	17	0.795314	0.000000
semimcfmcf	18	0.815133	0.000000
semimcfmcf	19	0.843392	0.000000
semimcfmcf	20	0.857753	0.000000
semimcfmcf	21	0.800021	0.000000
semimcfmcf	22	0.854721	0.000000
semimcfmcf	23	0.867155	0.000000
semimcfraeke	0	0.400000	0.000000
semimcfraeke	1	0.393325	0.000000
semimcfraeke	2	0.766934	0.000000
semimcfraeke	3	0.687087	0.000000
semimcfraeke	4	0.617756	0.000000
semimcfraeke	5	0.661353	0.000000
semimcfraeke	6	0.605045	0.000000
semimcfraeke	7	0.611683	0.000000
semimcfraeke	8	0.645637	0.000000
semimcfraeke	9	0.675132	0.000000
semimcfraeke	10	0.687795	0.000000
semimcfraeke	11	0.700097	0.000000
semimcfraeke	12	0.749979	0.000000
semimcfraeke	13	0.766164	0.000000
semimcfraeke	14	0.775003	0.000000
semimcfraeke	15	0.691300	0.000000
semimcfraeke	16	0.687397	0.000000
semimcfraeke	17	0.795589	0.000000
semimcfraeke	18	0.815643	0.000000
semimcfraeke	19	0.843168	0.000000
semimcfraeke	20	0.857020	0.000000
semimcfraeke	21	0.800066	0.000000
semimcfraeke	22	0.854850	0.000000
semimcfraeke	23	0.867072	0.000000
semimcfvlb	0	0.400000	0.000000
semimcfvlb	1	0.393325	0.000000
semimcfvlb	2	0.764390	0.000000
semimcfvlb	3	0.686994	0.000000
semimcfvlb	4	0.617157	0.000000
semimcfvlb	5	0.660461	0.000000
semimcfvlb	6	0.606369	0.000000
semimcfvlb	7	0.611379	0.000000
semimcfvlb	8	0.645980	0.000000
semimcfvlb	9	0.675184	0.000000
semimcfvlb	10	0.687568	0.000000
semimcfvlb	11	0.699573	0.000000
semimcfvlb	12	0.750503	0.000000
semimcfvlb	13	0.766584	0.000000
semimcfvlb	14	0.775189	0.000000
semimcfvlb	15	0.691290	0.000000
semimcfvlb	16	0.687350	0.000000
semimcfvlb	17	0.795138	0.000000
semimcfvlb	18	0.814973	0.000000
semimcfvlb	19	0.843526	0.000000
semimcfvlb	20	0.857674	0.000000
semimcfvlb	21	0.799665	0.000000
semimcfvlb	22	0.855186	0.000000
semimcfvlb	23	0.867165	0.000000
spf	0	0.626175	0.000000
spf	1	0.614572	0.000000
spf	2	0.750831	0.000000
spf	3	0.657333	0.000000
spf	4	0.590786	0.000000
spf	5	0.632026	0.000000
spf	6	0.579509	0.000000
spf	7	0.584741	0.000000
spf	8	0.617894	0.000000
spf	9	0.645802	0.000000
spf	10	0.658198	0.000000
spf	11	0.669367	0.000000
spf	12	0.718265	0.000000
spf	13	0.732923	0.000000
spf	14	0.741773	0.000000
spf	15	0.661315	0.000000
spf	16	0.657734	0.000000
spf	17	0.761013	0.000000
spf	18	0.779757	0.000000
spf	19	0.807152	0.000000
spf	20	0.820691	0.000000
spf	21	0.765606	0.000000
spf	22	0.818042	0.000000
spf	23	0.829803	0.000000
vlb	0	0.587271	0.000000
vlb	1	0.587213	0.000000
vlb	2	0.758410	0.000000
vlb	3	0.662674	0.000000
vlb	4	0.596061	0.000000
vlb	5	0.637933	0.000000
vlb	6	0.584486	0.000000
vlb	7	0.589787	0.000000
vlb	8	0.622786	0.000000
vlb	9	0.652510	0.000000
vlb	10	0.663209	0.000000
vlb	11	0.675083	0.000000
vlb	12	0.723896	0.000000
vlb	13	0.739937	0.000000
vlb	14	0.749070	0.000000
vlb	15	0.666994	0.000000
vlb	16	0.663527	0.000000
vlb	17	0.766559	0.000000
vlb	18	0.785707	0.000000
vlb	19	0.815109	0.000000
vlb	20	0.827243	0.000000
vlb	21	0.772101	0.000000
vlb	22	0.826053	0.000000
vlb	23	0.836708	0.000000

