# solver	iter	edge-congestion
ecmp	0	
		(s1,s2) : 0.00777064919345
		(s1,h1) : 0.00213409061539
		(s2,s1) : 0.0213409061539
		(s2,s5) : 0.352231036155
		(s2,s6) : 0.220859879328
		(s2,s12) : 0.304413699087
		(s2,h2) : 0.0246299515697
		(s3,s6) : 0.185654526832
		(s3,s9) : 0.131716775767
		(s3,h3) : 0.0388237962549
		(s4,s7) : 0.165177504274
		(s4,s10) : 0.0306806830358
		(s4,s11) : 0.072220458065
		(s4,h4) : 0.0104171572748
		(s5,s2) : 0.295979976224
		(s5,s7) : 0.125955323093
		(s5,s8) : 0.29990295902
		(s5,h5) : 0.0101579714693
		(s6,s2) : 0.168698750653
		(s6,s3) : 0.289589392514
		(s6,s7) : 0.207897230069
		(s6,h6) : 0.0224298276662
		(s7,s4) : 0.168303911565
		(s7,s5) : 0.092009459863
		(s7,s6) : 0.221856716929
		(s7,h7) : 0.00911785819598
		(s8,s5) : 0.246525987721
		(s8,s10) : 0.0685321056123
		(s8,h8) : 0.0293259331143
		(s9,s3) : 0.302960413616
		(s9,s12) : 0.253806205962
		(s9,h9) : 0.0304921227368
		(s10,s4) : 0.0287160616075
		(s10,s8) : 0.0601726494827
		(s10,s11) : 0.0280577498072
		(s10,h10) : 0.00486510205677
		(s11,s4) : 0.0718185829436
		(s11,s10) : 0.0271583297136
		(s11,h11) : 0.0100278207872
		(s12,s2) : 0.497039586384
		(s12,s9) : 0.302896269339
		(s12,h12) : 0.0314205893818
		(h1,s1) : 0.000777064919345
		(h2,s2) : 0.0175656073967
		(h3,s3) : 0.0113059459017
		(h4,s4) : 0.0103411662006
		(h5,s5) : 0.0132651489291
		(h6,s6) : 0.026211252681
		(h7,s7) : 0.00743186128804
		(h8,s8) : 0.0248241815975
		(h9,s9) : 0.042707480184
		(h10,s10) : 0.00392263631034
		(h11,s11) : 0.00989769126572
		(h12,s12) : 0.0555921844491
ecmp	1	
		(s1,s2) : 0.00779119719653
		(s1,h1) : 0.00303435979041
		(s2,s1) : 0.0303435979041
		(s2,s5) : 0.347671748364
		(s2,s6) : 0.205581156421
		(s2,s12) : 0.29168561146
		(s2,h2) : 0.0229142407406
		(s3,s6) : 0.188941601476
		(s3,s9) : 0.134999251454
		(s3,h3) : 0.0347456726474
		(s4,s7) : 0.15806821082
		(s4,s10) : 0.0303407612568
		(s4,s11) : 0.0787357055147
		(s4,h4) : 0.0102213029929
		(s5,s2) : 0.26403576288
		(s5,s7) : 0.110096862374
		(s5,s8) : 0.283941105682
		(s5,h5) : 0.0096856345112
		(s6,s2) : 0.169178588005
		(s6,s3) : 0.260261231097
		(s6,s7) : 0.212148340721
		(s6,h6) : 0.0216284770583
		(s7,s4) : 0.172771817801
		(s7,s5) : 0.0924481006521
		(s7,s6) : 0.209044609714
		(s7,h7) : 0.0088729156278
		(s8,s5) : 0.252402886059
		(s8,s10) : 0.0705409561117
		(s8,h8) : 0.0275752561785
		(s9,s3) : 0.294751859016
		(s9,s12) : 0.259604452185
		(s9,h9) : 0.0301076835859
		(s10,s4) : 0.0276289998272
		(s10,s8) : 0.0572082257558
		(s10,s11) : 0.0298806313449
		(s10,h10) : 0.00488983852109
		(s11,s4) : 0.0690442965515
		(s11,s10) : 0.0262232243194
		(s11,h11) : 0.010861633686
		(s12,s2) : 0.505403122492
		(s12,s9) : 0.292922128699
		(s12,h12) : 0.0321060660274
		(h1,s1) : 0.000779119719653
		(h2,s2) : 0.0158015850982
		(h3,s3) : 0.0116384489291
		(h4,s4) : 0.00999125933405
		(h5,s5) : 0.00624073409732
		(h6,s6) : 0.0254305562795
		(h7,s7) : 0.00826802705307
		(h8,s8) : 0.0257547072518
		(h9,s9) : 0.0427511766907
		(h10,s10) : 0.00365113004509
		(h11,s11) : 0.00952675208709
		(h12,s12) : 0.056809584782
ecmp	2	
		(s1,s2) : 0.00634543612649
		(s1,h1) : 0.00245581988293
		(s2,s1) : 0.0245581988293
		(s2,s5) : 0.183010661391
		(s2,s6) : 0.199698547205
		(s2,s12) : 0.0324259544294
		(s2,h2) : 0.0183545782867
		(s3,s6) : 0.471750977595
		(s3,s9) : 0.315490101269
		(s3,h3) : 0.0369286373972
		(s4,s7) : 0.168187346026
		(s4,s10) : 0.0395004558471
		(s4,s11) : 0.0820146279639
		(s4,h4) : 0.00902508906261
		(s5,s2) : 0.206013307474
		(s5,s7) : 0.132545358116
		(s5,s8) : 0.233594268515
		(s5,h5) : 0.0100914735989
		(s6,s2) : 0.244983777683
		(s6,s3) : 0.461309456339
		(s6,s7) : 0.290769738918
		(s6,h6) : 0.0195624504837
		(s7,s4) : 0.169536781957
		(s7,s5) : 0.144157998513
		(s7,s6) : 0.282260607732
		(s7,h7) : 0.00720926265863
		(s8,s5) : 0.241194332
		(s8,s10) : 0.0481315776293
		(s8,h8) : 0.0254176010623
		(s9,s3) : 0.587553621153
		(s9,s12) : 0.267713397711
		(s9,h9) : 0.0285107856569
		(s10,s4) : 0.0286124572381
		(s10,s8) : 0.0477806971304
		(s10,s11) : 0.0240406751103
		(s10,h10) : 0.00370298847875
		(s11,s4) : 0.0717376861384
		(s11,s10) : 0.0233985828226
		(s11,h11) : 0.0106055303074
		(s12,s2) : 0.0519559355621
		(s12,s9) : 0.445286413557
		(s12,h12) : 0.0258496917252
		(h1,s1) : 0.000634543612649
		(h2,s2) : 0.0153171891733
		(h3,s3) : 0.0116102564344
		(h4,s4) : 0.0110469095134
		(h5,s5) : 0.0103681645478
		(h6,s6) : 0.0245604220117
		(h7,s7) : 0.00788133184359
		(h8,s8) : 0.0261724254602
		(h9,s9) : 0.0385610844955
		(h10,s10) : 0.00262573464489
		(h11,s11) : 0.0095136268961
		(h12,s12) : 0.051697011462
ecmp	3	
		(s1,s2) : 0.0051201441197
		(s1,h1) : 0.00254229142039
		(s2,s1) : 0.0254229142039
		(s2,s5) : 0.151220698881
		(s2,s6) : 0.204217278503
		(s2,s12) : 0.032025578046
		(s2,h2) : 0.0183230609656
		(s3,s6) : 0.467922421232
		(s3,s9) : 0.311339249686
		(s3,h3) : 0.0381161997469
		(s4,s7) : 0.169907875825
		(s4,s10) : 0.035144812609
		(s4,s11) : 0.0780631520005
		(s4,h4) : 0.0095703733583
		(s5,s2) : 0.195183393017
		(s5,s7) : 0.12423550305
		(s5,s8) : 0.17963974659
		(s5,h5) : 0.0079937091431
		(s6,s2) : 0.226319862597
		(s6,s3) : 0.452819152673
		(s6,s7) : 0.27383987407
		(s6,h6) : 0.021605738975
		(s7,s4) : 0.170119757421
		(s7,s5) : 0.117235913193
		(s7,s6) : 0.282308896979
		(s7,h7) : 0.00735458706952
		(s8,s5) : 0.248776695588
