# solver	iter	.0.800000-exp-congestion	stddev
ecmp	0	0.171239	0.000000
ecmp	1	0.169548	0.000000
ecmp	2	0.165834	0.000000
ecmp	3	0.147089	0.000000
ecmp	4	0.131248	0.000000
ecmp	5	0.140868	0.000000
ecmp	6	0.128009	0.000000
ecmp	7	0.126605	0.000000
ecmp	8	0.134094	0.000000
ecmp	9	0.141624	0.000000
ecmp	10	0.143690	0.000000
ecmp	11	0.145671	0.000000
ecmp	12	0.156313	0.000000
ecmp	13	0.161732	0.000000
ecmp	14	0.163853	0.000000
ecmp	15	0.141119	0.000000
ecmp	16	0.140355	0.000000
ecmp	17	0.162156	0.000000
ecmp	18	0.166156	0.000000
ecmp	19	0.168969	0.000000
ecmp	20	0.171298	0.000000
ecmp	21	0.163281	0.000000
ecmp	22	0.177405	0.000000
ecmp	23	0.176026	0.000000
ksp	0	0.316528	0.000000
ksp	1	0.313837	0.000000
ksp	2	0.310994	0.000000
ksp	3	0.272898	0.000000
ksp	4	0.244969	0.000000
ksp	5	0.261264	0.000000
ksp	6	0.238891	0.000000
ksp	7	0.241380	0.000000
ksp	8	0.256307	0.000000
ksp	9	0.264747	0.000000
ksp	10	0.269363	0.000000
ksp	11	0.274661	0.000000
ksp	12	0.294901	0.000000
ksp	13	0.299804	0.000000
ksp	14	0.305683	0.000000
ksp	15	0.273036	0.000000
ksp	16	0.271215	0.000000
ksp	17	0.313997	0.000000
ksp	18	0.320217	0.000000
ksp	19	0.331076	0.000000
ksp	20	0.337914	0.000000
ksp	21	0.314355	0.000000
ksp	22	0.335020	0.000000
ksp	23	0.339293	0.000000
mcf	0	0.399796	0.000000
mcf	1	0.396449	0.000000
mcf	2	0.393742	0.000000
mcf	3	0.392836	0.000000
mcf	4	0.306929	0.000000
mcf	5	0.332702	0.000000
mcf	6	0.305036	0.000000
mcf	7	0.305924	0.000000
mcf	8	0.324051	0.000000
mcf	9	0.338242	0.000000
mcf	10	0.339867	0.000000
mcf	11	0.342002	0.000000
mcf	12	0.367623	0.000000
mcf	13	0.385999	0.000000
mcf	14	0.389409	0.000000
mcf	15	0.339627	0.000000
mcf	16	0.336648	0.000000
mcf	17	0.389857	0.000000
mcf	18	0.401860	0.000000
mcf	19	0.415068	0.000000
mcf	20	0.422955	0.000000
mcf	21	0.390015	0.000000
mcf	22	0.417829	0.000000
mcf	23	0.423966	0.000000
raeke	0	0.278324	0.000000
raeke	1	0.268457	0.000000
raeke	2	0.267695	0.000000
raeke	3	0.242784	0.000000
raeke	4	0.219005	0.000000
raeke	5	0.233811	0.000000
raeke	6	0.213004	0.000000
raeke	7	0.208925	0.000000
raeke	8	0.224188	0.000000
raeke	9	0.234451	0.000000
raeke	10	0.236025	0.000000
raeke	11	0.238148	0.000000
raeke	12	0.257747	0.000000
raeke	13	0.265395	0.000000
raeke	14	0.272337	0.000000
raeke	15	0.246433	0.000000
raeke	16	0.240888	0.000000
raeke	17	0.278886	0.000000
raeke	18	0.284957	0.000000
raeke	19	0.289117	0.000000
raeke	20	0.294249	0.000000
raeke	21	0.277121	0.000000
raeke	22	0.296396	0.000000
raeke	23	0.301275	0.000000
semimcfecmp	0	0.179801	0.000000
semimcfecmp	1	0.179759	0.000000
semimcfecmp	2	0.175446	0.000000
semimcfecmp	3	0.152767	0.000000
semimcfecmp	4	0.137208	0.000000
semimcfecmp	5	0.146542	0.000000
semimcfecmp	6	0.133225	0.000000
semimcfecmp	7	0.135260	0.000000
semimcfecmp	8	0.143620	0.000000
semimcfecmp	9	0.149661	0.000000
semimcfecmp	10	0.152049	0.000000
semimcfecmp	11	0.152975	0.000000
semimcfecmp	12	0.164150	0.000000
semimcfecmp	13	0.167930	0.000000
semimcfecmp	14	0.169407	0.000000
semimcfecmp	15	0.145789	0.000000
semimcfecmp	16	0.145000	0.000000
semimcfecmp	17	0.167010	0.000000
semimcfecmp	18	0.172745	0.000000
semimcfecmp	19	0.179010	0.000000
semimcfecmp	20	0.181477	0.000000
semimcfecmp	21	0.169712	0.000000
semimcfecmp	22	0.182082	0.000000
semimcfecmp	23	0.184400	0.000000
semimcfksp	0	0.230711	0.000000
semimcfksp	1	0.226368	0.000000
semimcfksp	2	0.233874	0.000000
semimcfksp	3	0.197932	0.000000
semimcfksp	4	0.177755	0.000000
semimcfksp	5	0.171300	0.000000
semimcfksp	6	0.158182	0.000000
semimcfksp	7	0.198521	0.000000
semimcfksp	8	0.171719	0.000000
semimcfksp	9	0.204200	0.000000
semimcfksp	10	0.206871	0.000000
semimcfksp	11	0.202970	0.000000
semimcfksp	12	0.185137	0.000000
semimcfksp	13	0.219216	0.000000
semimcfksp	14	0.213794	0.000000
semimcfksp	15	0.172262	0.000000
semimcfksp	16	0.169951	0.000000
semimcfksp	17	0.196764	0.000000
semimcfksp	18	0.235232	0.000000
semimcfksp	19	0.237557	0.000000
semimcfksp	20	0.241813	0.000000
semimcfksp	21	0.228438	0.000000
semimcfksp	22	0.244141	0.000000
semimcfksp	23	0.248215	0.000000
semimcfmcf	0	0.399796	0.000000
semimcfmcf	1	0.388008	0.000000
semimcfmcf	2	0.393686	0.000000
semimcfmcf	3	0.341546	0.000000
semimcfmcf	4	0.306644	0.000000
semimcfmcf	5	0.332702	0.000000
semimcfmcf	6	0.304624	0.000000
semimcfmcf	7	0.305470	0.000000
semimcfmcf	8	0.323562	0.000000
semimcfmcf	9	0.337716	0.000000
semimcfmcf	10	0.339867	0.000000
semimcfmcf	11	0.342002	0.000000
semimcfmcf	12	0.367623	0.000000
semimcfmcf	13	0.380725	0.000000
semimcfmcf	14	0.380203	0.000000
semimcfmcf	15	0.340125	0.000000
semimcfmcf	16	0.336648	0.000000
semimcfmcf	17	0.389553	0.000000
semimcfmcf	18	0.401547	0.000000
semimcfmcf	19	0.415068	0.000000
semimcfmcf	20	0.422342	0.000000
semimcfmcf	21	0.390015	0.000000
semimcfmcf	22	0.419216	0.000000
semimcfmcf	23	0.426929	0.000000
semimcfraeke	0	0.239678	0.000000
semimcfraeke	1	0.243900	0.000000
semimcfraeke	2	0.242568	0.000000
semimcfraeke	3	0.208385	0.000000
semimcfraeke	4	0.186782	0.000000
semimcfraeke	5	0.191502	0.000000
semimcfraeke	6	0.176787	0.000000
semimcfraeke	7	0.194918	0.000000
semimcfraeke	8	0.191894	0.000000
semimcfraeke	9	0.216227	0.000000
semimcfraeke	10	0.218393	0.000000
