# solver	iter	num_paths	stddev
akecmp	0	110.000000	0.000000
akecmp	1	110.000000	0.000000
akmcf	0	92.000000	0.000000
akmcf	1	92.000000	0.000000
akraeke	0	10528.000000	0.000000
akraeke	1	10528.000000	0.000000
akvlb	0	595.000000	0.000000
akvlb	1	595.000000	0.000000
ecmp	0	110.000000	0.000000
ecmp	1	110.000000	0.000000
mcf	0	20.000000	0.000000
mcf	1	20.000000	0.000000
mwmcf	0	100.000000	0.000000
mwmcf	1	100.000000	0.000000
raeke	0	10798.000000	0.000000
raeke	1	10798.000000	0.000000
semimcfecmp	0	100.000000	0.000000
semimcfecmp	1	100.000000	0.000000
semimcfmcf	0	92.000000	0.000000
semimcfmcf	1	92.000000	0.000000
semimcfraeke	0	10824.000000	0.000000
semimcfraeke	1	10824.000000	0.000000
semimcfvlb	0	495.000000	0.000000
semimcfvlb	1	495.000000	0.000000
spf	0	100.000000	0.000000
spf	1	100.000000	0.000000
vlb	0	595.000000	0.000000
vlb	1	596.000000	0.000000

