# solver	iter	total-throughput	stddev
ecmp	0	1.000000	0.000000
ecmp	1	1.000000	0.000000
ecmp	2	0.967928	0.000000
ecmp	3	0.968201	0.000000
ecmp	4	0.968049	0.000000
ecmp	5	0.967964	0.000000
ecmp	6	0.967982	0.000000
ecmp	7	0.967778	0.000000
ecmp	8	0.967882	0.000000
ecmp	9	0.967708	0.000000
ecmp	10	0.967705	0.000000
ecmp	11	0.967790	0.000000
ecmp	12	0.967921	0.000000
ecmp	13	0.967861	0.000000
ecmp	14	0.968149	0.000000
ecmp	15	0.968298	0.000000
ecmp	16	0.968062	0.000000
ecmp	17	0.968064	0.000000
ecmp	18	0.967914	0.000000
ecmp	19	0.967687	0.000000
ecmp	20	0.967688	0.000000
ecmp	21	0.967993	0.000000
ecmp	22	0.968143	0.000000
ecmp	23	0.968127	0.000000
ksp	0	1.000000	0.000000
ksp	1	1.000000	0.000000
ksp	2	0.972836	0.000000
ksp	3	0.973106	0.000000
ksp	4	0.973003	0.000000
ksp	5	0.972924	0.000000
ksp	6	0.972932	0.000000
ksp	7	0.972731	0.000000
ksp	8	0.972813	0.000000
ksp	9	0.972724	0.000000
ksp	10	0.972694	0.000000
ksp	11	0.972731	0.000000
ksp	12	0.972835	0.000000
ksp	13	0.972833	0.000000
ksp	14	0.973061	0.000000
ksp	15	0.973157	0.000000
ksp	16	0.972987	0.000000
ksp	17	0.972989	0.000000
ksp	18	0.972882	0.000000
ksp	19	0.972692	0.000000
ksp	20	0.972735	0.000000
ksp	21	0.972928	0.000000
ksp	22	0.972979	0.000000
ksp	23	0.972988	0.000000
mcf	0	1.000000	0.000000
mcf	1	1.000000	0.000000
mcf	2	0.966837	0.000000
mcf	3	0.972398	0.000000
mcf	4	0.964294	0.000000
mcf	5	0.966797	0.000000
mcf	6	0.965151	0.000000
mcf	7	0.964654	0.000000
mcf	8	0.965300	0.000000
mcf	9	0.964319	0.000000
mcf	10	0.966820	0.000000
mcf	11	0.966585	0.000000
mcf	12	0.966636	0.000000
mcf	13	0.963605	0.000000
mcf	14	0.964219	0.000000
mcf	15	0.966698	0.000000
mcf	16	0.966676	0.000000
mcf	17	0.966992	0.000000
mcf	18	0.964537	0.000000
mcf	19	0.966850	0.000000
mcf	20	0.964915	0.000000
mcf	21	0.967011	0.000000
mcf	22	0.966540	0.000000
mcf	23	0.967003	0.000000
raeke	0	1.000000	0.000000
raeke	1	1.000000	0.000000
raeke	2	0.981067	0.000000
raeke	3	0.982492	0.000000
raeke	4	1.000326	0.000000
raeke	5	0.999821	0.000000
raeke	6	1.000330	0.000000
raeke	7	0.999673	0.000000
raeke	8	1.000465	0.000000
raeke	9	1.000324	0.000000
raeke	10	0.999746	0.000000
raeke	11	0.999490	0.000000
raeke	12	1.000096	0.000000
raeke	13	1.000426	0.000000
raeke	14	0.999384	0.000000
raeke	15	1.000280	0.000000
raeke	16	1.000064	0.000000
raeke	17	0.999430	0.000000
raeke	18	1.000254	0.000000
raeke	19	1.000691	0.000000
raeke	20	0.998362	0.000000
raeke	21	1.001996	0.000000
raeke	22	0.999049	0.000000
raeke	23	1.000113	0.000000
semimcfecmp	0	1.000000	0.000000
semimcfecmp	1	1.000000	0.000000
semimcfecmp	2	0.967964	0.000000
semimcfecmp	3	1.000000	0.000000
semimcfecmp	4	1.000000	0.000000
semimcfecmp	5	1.000000	0.000000
semimcfecmp	6	1.000000	0.000000
semimcfecmp	7	1.000000	0.000000
semimcfecmp	8	1.000000	0.000000
semimcfecmp	9	1.000000	0.000000
semimcfecmp	10	1.000000	0.000000
semimcfecmp	11	1.000000	0.000000
semimcfecmp	12	1.000000	0.000000
semimcfecmp	13	1.000000	0.000000
semimcfecmp	14	1.000000	0.000000
semimcfecmp	15	1.000000	0.000000
semimcfecmp	16	1.000000	0.000000
semimcfecmp	17	1.000000	0.000000
semimcfecmp	18	1.000000	0.000000
semimcfecmp	19	1.000000	0.000000
semimcfecmp	20	1.000000	0.000000
semimcfecmp	21	1.000000	0.000000
semimcfecmp	22	1.000000	0.000000
semimcfecmp	23	1.000000	0.000000
semimcfksp	0	1.000000	0.000000
semimcfksp	1	1.000000	0.000000
semimcfksp	2	0.981399	0.000000
semimcfksp	3	1.000000	0.000000
semimcfksp	4	1.000000	0.000000
semimcfksp	5	1.000000	0.000000
semimcfksp	6	1.000000	0.000000
semimcfksp	7	1.000000	0.000000
semimcfksp	8	1.000000	0.000000
semimcfksp	9	1.000000	0.000000
semimcfksp	10	1.000000	0.000000
semimcfksp	11	1.000000	0.000000
semimcfksp	12	1.000000	0.000000
semimcfksp	13	1.000000	0.000000
semimcfksp	14	1.000000	0.000000
semimcfksp	15	1.000000	0.000000
semimcfksp	16	1.000000	0.000000
semimcfksp	17	1.000000	0.000000
semimcfksp	18	1.000000	0.000000
semimcfksp	19	1.000000	0.000000
semimcfksp	20	1.000000	0.000000
semimcfksp	21	1.000000	0.000000
semimcfksp	22	1.000000	0.000000
semimcfksp	23	1.000000	0.000000
semimcfmcf	0	1.000000	0.000000
semimcfmcf	1	1.000000	0.000000
semimcfmcf	2	0.967047	0.000000
semimcfmcf	3	0.999964	0.000000
semimcfmcf	4	0.999957	0.000000
semimcfmcf	5	0.999900	0.000000
semimcfmcf	6	0.999865	0.000000
semimcfmcf	7	1.000061	0.000000
semimcfmcf	8	1.000103	0.000000
semimcfmcf	9	0.999928	0.000000
semimcfmcf	10	1.000190	0.000000
semimcfmcf	11	0.999794	0.000000
semimcfmcf	12	1.000036	0.000000
semimcfmcf	13	1.000050	0.000000
semimcfmcf	14	0.999913	0.000000
semimcfmcf	15	1.000079	0.000000
semimcfmcf	16	0.999985	0.000000
semimcfmcf	17	1.000033	0.000000
semimcfmcf	18	1.000167	0.000000
semimcfmcf	19	0.999887	0.000000
semimcfmcf	20	1.000058	0.000000
semimcfmcf	21	0.999923	0.000000
semimcfmcf	22	0.999821	0.000000
semimcfmcf	23	1.000218	0.000000
semimcfraeke	0	1.000000	0.000000
semimcfraeke	1	1.000000	0.000000
semimcfraeke	2	0.984430	0.000000
semimcfraeke	3	1.000561	0.000000
semimcfraeke	4	0.999201	0.000000
semimcfraeke	5	1.000437	0.000000
semimcfraeke	6	0.999623	0.000000
semimcfraeke	7	1.000146	0.000000
semimcfraeke	8	0.999769	0.000000
semimcfraeke	9	0.999436	0.000000
semimcfraeke	10	1.000903	0.000000
semimcfraeke	11	1.000253	0.000000
semimcfraeke	12	0.999930	0.000000
semimcfraeke	13	0.999883	0.000000
semimcfraeke	14	1.000335	0.000000
semimcfraeke	15	0.999021	0.000000
semimcfraeke	16	1.000549	0.000000
semimcfraeke	17	0.999449	0.000000
semimcfraeke	18	1.000560	0.000000
semimcfraeke	19	1.000525	0.000000
semimcfraeke	20	0.999460	0.000000
semimcfraeke	21	0.999513	0.000000
semimcfraeke	22	0.999918	0.000000
semimcfraeke	23	0.999946	0.000000
semimcfvlb	0	1.000000	0.000000
semimcfvlb	1	1.000000	0.000000
semimcfvlb	2	0.980856	0.000000
semimcfvlb	3	0.999834	0.000000
semimcfvlb	4	0.999944	0.000000
semimcfvlb	5	0.999723	0.000000
semimcfvlb	6	1.000697	0.000000
semimcfvlb	7	0.999549	0.000000
semimcfvlb	8	0.999597	0.000000
semimcfvlb	9	0.999812	0.000000
semimcfvlb	10	1.000658	0.000000
semimcfvlb	11	1.000259	0.000000
semimcfvlb	12	0.999323	0.000000
semimcfvlb	13	1.000026	0.000000
semimcfvlb	14	0.999803	0.000000
semimcfvlb	15	1.000576	0.000000
semimcfvlb	16	1.000296	0.000000
semimcfvlb	17	1.000131	0.000000
semimcfvlb	18	0.999918	0.000000
semimcfvlb	19	0.999531	0.000000
semimcfvlb	20	1.000164	0.000000
semimcfvlb	21	1.000276	0.000000
semimcfvlb	22	0.999385	0.000000
semimcfvlb	23	0.999937	0.000000
spf	0	1.000000	0.000000
spf	1	1.000000	0.000000
spf	2	0.967964	0.000000
spf	3	0.968235	0.000000
spf	4	0.968084	0.000000
spf	5	0.967997	0.000000
spf	6	0.968014	0.000000
spf	7	0.967811	0.000000
spf	8	0.967915	0.000000
spf	9	0.967740	0.000000
spf	10	0.967737	0.000000
spf	11	0.967824	0.000000
spf	12	0.967959	0.000000
spf	13	0.967890	0.000000
spf	14	0.968186	0.000000
spf	15	0.968335	0.000000
spf	16	0.968099	0.000000
spf	17	0.968101	0.000000
spf	18	0.967945	0.000000
