# solver	iter	congestion-drop	stddev
ecmp	0	0.077585	0.000000
ecmp	1	0.071908	0.000000
ecmp	2	0.000000	0.000000
ecmp	3	0.000000	0.000000
ecmp	4	0.000000	0.000000
ecmp	5	0.000000	0.000000
ecmp	6	0.000000	0.000000
ecmp	7	0.000000	0.000000
ecmp	8	0.000000	0.000000
ecmp	9	0.000000	0.000000
ecmp	10	0.000000	0.000000
ecmp	11	0.000000	0.000000
ecmp	12	0.000000	0.000000
ecmp	13	0.000000	0.000000
ecmp	14	0.000000	0.000000
ecmp	15	0.000000	0.000000
ecmp	16	0.000000	0.000000
ecmp	17	0.000000	0.000000
ecmp	18	0.000199	0.000000
ecmp	19	0.000516	0.000000
ecmp	20	0.000635	0.000000
ecmp	21	0.000000	0.000000
ecmp	22	0.000671	0.000000
ecmp	23	0.000794	0.000000
ksp	0	0.038656	0.000000
ksp	1	0.029165	0.000000
ksp	2	0.170565	0.000000
ksp	3	0.126116	0.000000
ksp	4	0.088230	0.000000
ksp	5	0.113025	0.000000
ksp	6	0.080884	0.000000
ksp	7	0.084993	0.000000
ksp	8	0.105226	0.000000
ksp	9	0.121862	0.000000
ksp	10	0.129022	0.000000
ksp	11	0.134768	0.000000
ksp	12	0.157244	0.000000
ksp	13	0.163733	0.000000
ksp	14	0.166181	0.000000
ksp	15	0.128217	0.000000
ksp	16	0.127453	0.000000
ksp	17	0.174611	0.000000
ksp	18	0.182516	0.000000
ksp	19	0.194250	0.000000
ksp	20	0.199108	0.000000
ksp	21	0.177140	0.000000
ksp	22	0.195750	0.000000
ksp	23	0.199927	0.000000
mcf	0	0.000000	0.000000
mcf	1	0.000000	0.000000
mcf	2	0.000000	0.000000
mcf	3	0.000000	0.000000
mcf	4	0.000000	0.000000
mcf	5	0.000000	0.000000
mcf	6	0.000000	0.000000
mcf	7	0.000000	0.000000
mcf	8	0.000000	0.000000
mcf	9	0.000000	0.000000
mcf	10	0.000000	0.000000
mcf	11	0.000000	0.000000
mcf	12	0.000000	0.000000
mcf	13	0.000000	0.000000
mcf	14	0.000000	0.000000
mcf	15	0.000000	0.000000
mcf	16	0.000000	0.000000
mcf	17	0.000000	0.000000
mcf	18	0.000000	0.000000
mcf	19	0.000000	0.000000
mcf	20	0.000000	0.000000
mcf	21	0.000000	0.000000
mcf	22	0.000000	0.000000
mcf	23	0.000000	0.000000
raeke	0	0.000000	0.000000
raeke	1	0.000000	0.000000
raeke	2	0.170187	0.000000
raeke	3	0.126378	0.000000
raeke	4	0.088492	0.000000
raeke	5	0.113285	0.000000
raeke	6	0.081146	0.000000
raeke	7	0.085255	0.000000
raeke	8	0.105486	0.000000
raeke	9	0.122119	0.000000
raeke	10	0.129282	0.000000
raeke	11	0.135031	0.000000
raeke	12	0.157364	0.000000
raeke	13	0.163676	0.000000
raeke	14	0.165981	0.000000
raeke	15	0.128479	0.000000
raeke	16	0.127717	0.000000
raeke	17	0.174165	0.000000
