# solver	iter	.0.900000-congestion	stddev
ecmp	0	0.176790	0.000000
ecmp	1	0.174199	0.000000
ecmp	2	0.129065	0.000000
ecmp	3	0.112695	0.000000
ecmp	4	0.099780	0.000000
ecmp	5	0.107378	0.000000
ecmp	6	0.098220	0.000000
ecmp	7	0.100410	0.000000
ecmp	8	0.106917	0.000000
ecmp	9	0.111443	0.000000
ecmp	10	0.113084	0.000000
ecmp	11	0.114529	0.000000
ecmp	12	0.122965	0.000000
ecmp	13	0.126206	0.000000
ecmp	14	0.126951	0.000000
ecmp	15	0.113701	0.000000
ecmp	16	0.112952	0.000000
ecmp	17	0.130772	0.000000
ecmp	18	0.134347	0.000000
ecmp	19	0.138920	0.000000
ecmp	20	0.141369	0.000000
ecmp	21	0.133545	0.000000
ecmp	22	0.142960	0.000000
ecmp	23	0.145123	0.000000
ksp	0	0.354438	0.000000
ksp	1	0.350256	0.000000
ksp	2	0.333950	0.000000
ksp	3	0.295145	0.000000
ksp	4	0.264196	0.000000
ksp	5	0.282723	0.000000
ksp	6	0.261499	0.000000
ksp	7	0.260362	0.000000
ksp	8	0.275891	0.000000
ksp	9	0.287287	0.000000
ksp	10	0.290909	0.000000
ksp	11	0.296438	0.000000
ksp	12	0.319850	0.000000
ksp	13	0.327624	0.000000
ksp	14	0.333915	0.000000
ksp	15	0.300662	0.000000
ksp	16	0.296716	0.000000
ksp	17	0.343407	0.000000
ksp	18	0.350328	0.000000
ksp	19	0.358625	0.000000
ksp	20	0.364746	0.000000
ksp	21	0.341936	0.000000
ksp	22	0.366806	0.000000
ksp	23	0.372536	0.000000
mcf	0	0.336469	0.000000
mcf	1	0.324803	0.000000
mcf	2	0.274356	0.000000
mcf	3	0.392168	0.000000
mcf	4	0.181430	0.000000
mcf	5	0.224822	0.000000
mcf	6	0.174858	0.000000
mcf	7	0.171828	0.000000
mcf	8	0.185014	0.000000
mcf	9	0.177320	0.000000
mcf	10	0.233367	0.000000
mcf	11	0.239478	0.000000
mcf	12	0.256972	0.000000
mcf	13	0.225050	0.000000
mcf	14	0.224923	0.000000
mcf	15	0.234362	0.000000
mcf	16	0.232633	0.000000
mcf	17	0.285032	0.000000
mcf	18	0.217262	0.000000
mcf	19	0.291890	0.000000
mcf	20	0.243453	0.000000
mcf	21	0.277238	0.000000
mcf	22	0.288460	0.000000
mcf	23	0.299825	0.000000
raeke	0	0.272657	0.000000
raeke	1	0.263185	0.000000
raeke	2	0.310451	0.000000
raeke	3	0.269664	0.000000
raeke	4	0.241950	0.000000
raeke	5	0.260904	0.000000
raeke	6	0.239364	0.000000
raeke	7	0.241581	0.000000
raeke	8	0.255349	0.000000
raeke	9	0.265414	0.000000
raeke	10	0.269214	0.000000
raeke	11	0.273147	0.000000
raeke	12	0.293235	0.000000
raeke	13	0.300449	0.000000
raeke	14	0.302253	0.000000
raeke	15	0.269837	0.000000
raeke	16	0.268015	0.000000
raeke	17	0.310067	0.000000
raeke	18	0.318420	0.000000
raeke	19	0.329728	0.000000
raeke	20	0.334781	0.000000
raeke	21	0.311248	0.000000
raeke	22	0.333804	0.000000
raeke	23	0.338419	0.000000
semimcfecmp	0	0.191481	0.000000
semimcfecmp	1	0.183307	0.000000
semimcfecmp	2	0.122162	0.000000
semimcfecmp	3	0.107780	0.000000
semimcfecmp	4	0.094708	0.000000
semimcfecmp	5	0.101868	0.000000
semimcfecmp	6	0.093458	0.000000
semimcfecmp	7	0.093475	0.000000
semimcfecmp	8	0.098783	0.000000
semimcfecmp	9	0.104260	0.000000
semimcfecmp	10	0.106958	0.000000
semimcfecmp	11	0.108355	0.000000
semimcfecmp	12	0.116186	0.000000
semimcfecmp	13	0.120271	0.000000
semimcfecmp	14	0.120981	0.000000
semimcfecmp	15	0.108177	0.000000
semimcfecmp	16	0.107497	0.000000
semimcfecmp	17	0.124457	0.000000
semimcfecmp	18	0.128066	0.000000
semimcfecmp	19	0.131183	0.000000
semimcfecmp	20	0.133875	0.000000
semimcfecmp	21	0.126478	0.000000
semimcfecmp	22	0.138766	0.000000
semimcfecmp	23	0.141485	0.000000
semimcfksp	0	0.346330	0.000000
semimcfksp	1	0.255258	0.000000
semimcfksp	2	0.233043	0.000000
semimcfksp	3	0.205746	0.000000
semimcfksp	4	0.184082	0.000000
semimcfksp	5	0.204122	0.000000
semimcfksp	6	0.187666	0.000000
semimcfksp	7	0.187887	0.000000
semimcfksp	8	0.203012	0.000000
semimcfksp	9	0.209547	0.000000
semimcfksp	10	0.212339	0.000000
semimcfksp	11	0.217892	0.000000
semimcfksp	12	0.236079	0.000000
semimcfksp	13	0.236891	0.000000
semimcfksp	14	0.245879	0.000000
semimcfksp	15	0.224439	0.000000
semimcfksp	16	0.214272	0.000000
semimcfksp	17	0.248034	0.000000
semimcfksp	18	0.241882	0.000000
semimcfksp	19	0.249970	0.000000
semimcfksp	20	0.254420	0.000000
semimcfksp	21	0.240349	0.000000
semimcfksp	22	0.266685	0.000000
semimcfksp	23	0.271128	0.000000
semimcfmcf	0	0.336469	0.000000
semimcfmcf	1	0.332443	0.000000
semimcfmcf	2	0.276730	0.000000
semimcfmcf	3	0.242765	0.000000
semimcfmcf	4	0.218301	0.000000
semimcfmcf	5	0.231225	0.000000
semimcfmcf	6	0.210089	0.000000
semimcfmcf	7	0.213302	0.000000
semimcfmcf	8	0.225654	0.000000
semimcfmcf	9	0.236709	0.000000
semimcfmcf	10	0.239752	0.000000
semimcfmcf	11	0.245660	0.000000
semimcfmcf	12	0.263704	0.000000
semimcfmcf	13	0.266373	0.000000
semimcfmcf	14	0.271424	0.000000
semimcfmcf	15	0.240854	0.000000
semimcfmcf	16	0.239303	0.000000
semimcfmcf	17	0.276648	0.000000
semimcfmcf	18	0.281480	0.000000
semimcfmcf	19	0.291658	0.000000
semimcfmcf	20	0.296087	0.000000
semimcfmcf	21	0.276152	0.000000
semimcfmcf	22	0.301404	0.000000
semimcfmcf	23	0.304972	0.000000
semimcfraeke	0	0.266718	0.000000
semimcfraeke	1	0.269416	0.000000
semimcfraeke	2	0.219678	0.000000
semimcfraeke	3	0.199233	0.000000
semimcfraeke	4	0.180548	0.000000
semimcfraeke	5	0.192218	0.000000
semimcfraeke	6	0.174793	0.000000
semimcfraeke	7	0.170322	0.000000
semimcfraeke	8	0.184358	0.000000
semimcfraeke	9	0.193624	0.000000
semimcfraeke	10	0.194699	0.000000
semimcfraeke	11	0.193993	0.000000
semimcfraeke	12	0.211402	0.000000
semimcfraeke	13	0.219605	0.000000
semimcfraeke	14	0.225566	0.000000
semimcfraeke	15	0.203050	0.000000
semimcfraeke	16	0.197600	0.000000
semimcfraeke	17	0.228775	0.000000
semimcfraeke	18	0.234849	0.000000
semimcfraeke	19	0.236012	0.000000
semimcfraeke	20	0.240926	0.000000
semimcfraeke	21	0.227602	0.000000
semimcfraeke	22	0.242346	0.000000
semimcfraeke	23	0.246377	0.000000
semimcfvlb	0	0.265980	0.000000
semimcfvlb	1	0.251460	0.000000
semimcfvlb	2	0.262652	0.000000
semimcfvlb	3	0.230576	0.000000
semimcfvlb	4	0.206193	0.000000
semimcfvlb	5	0.219755	0.000000
semimcfvlb	6	0.201903	0.000000
semimcfvlb	7	0.203720	0.000000
semimcfvlb	8	0.218650	0.000000
semimcfvlb	9	0.226120	0.000000
semimcfvlb	10	0.229276	0.000000
semimcfvlb	11	0.241806	0.000000
semimcfvlb	12	0.262123	0.000000
semimcfvlb	13	0.253917	0.000000
semimcfvlb	14	0.270447	0.000000
semimcfvlb	15	0.248408	0.000000
semimcfvlb	16	0.237851	0.000000
semimcfvlb	17	0.275374	0.000000
semimcfvlb	18	0.269480	0.000000
semimcfvlb	19	0.279255	0.000000
semimcfvlb	20	0.283824	0.000000
semimcfvlb	21	0.268132	0.000000
semimcfvlb	22	0.286996	0.000000
