# solver	iter	.0.950000-exp-congestion	stddev
ecmp	0	0.392446	0.000000
ecmp	1	0.386212	0.000000
ecmp	2	0.382879	0.000000
ecmp	3	0.338138	0.000000
ecmp	4	0.302915	0.000000
ecmp	5	0.326423	0.000000
ecmp	6	0.296820	0.000000
ecmp	7	0.300971	0.000000
ecmp	8	0.318214	0.000000
ecmp	9	0.326338	0.000000
ecmp	10	0.331461	0.000000
ecmp	11	0.336165	0.000000
ecmp	12	0.360805	0.000000
ecmp	13	0.369112	0.000000
ecmp	14	0.371733	0.000000
ecmp	15	0.332052	0.000000
ecmp	16	0.330093	0.000000
ecmp	17	0.382170	0.000000
ecmp	18	0.393994	0.000000
ecmp	19	0.408284	0.000000
ecmp	20	0.414027	0.000000
ecmp	21	0.386104	0.000000
ecmp	22	0.414330	0.000000
ecmp	23	0.419578	0.000000
ksp	0	0.626234	0.000000
ksp	1	0.618922	0.000000
ksp	2	0.611877	0.000000
ksp	3	0.532047	0.000000
ksp	4	0.473571	0.000000
ksp	5	0.509541	0.000000
ksp	6	0.469867	0.000000
ksp	7	0.475464	0.000000
ksp	8	0.501560	0.000000
ksp	9	0.517342	0.000000
ksp	10	0.526506	0.000000
ksp	11	0.536788	0.000000
ksp	12	0.576002	0.000000
ksp	13	0.588614	0.000000
ksp	14	0.594359	0.000000
ksp	15	0.529799	0.000000
ksp	16	0.526930	0.000000
ksp	17	0.609661	0.000000
ksp	18	0.625639	0.000000
ksp	19	0.646360	0.000000
ksp	20	0.656675	0.000000
ksp	21	0.614326	0.000000
ksp	22	0.664304	0.000000
ksp	23	0.672792	0.000000
mcf	0	0.600000	0.000000
mcf	1	0.589987	0.000000
mcf	2	0.588624	0.000000
mcf	3	0.515316	0.000000
mcf	4	0.463148	0.000000
mcf	5	0.495517	0.000000
mcf	6	0.454366	0.000000
mcf	7	0.458459	0.000000
mcf	8	0.484452	0.000000
mcf	9	0.506349	0.000000
mcf	10	0.515960	0.000000
mcf	11	0.524687	0.000000
mcf	12	0.563016	0.000000
mcf	13	0.574547	0.000000
mcf	14	0.581438	0.000000
mcf	15	0.518350	0.000000
mcf	16	0.515543	0.000000
mcf	17	0.596491	0.000000
mcf	18	0.611213	0.000000
mcf	19	0.632683	0.000000
mcf	20	0.643305	0.000000
mcf	21	0.600018	0.000000
mcf	22	0.641099	0.000000
mcf	23	0.650312	0.000000
raeke	0	0.454061	0.000000
raeke	1	0.447504	0.000000
raeke	2	0.445145	0.000000
raeke	3	0.390309	0.000000
raeke	4	0.350936	0.000000
raeke	5	0.374726	0.000000
raeke	6	0.342815	0.000000
raeke	7	0.346210	0.000000
raeke	8	0.365919	0.000000
raeke	9	0.381810	0.000000
raeke	10	0.390774	0.000000
raeke	11	0.397993	0.000000
raeke	12	0.427067	0.000000
raeke	13	0.434627	0.000000
raeke	14	0.441057	0.000000
raeke	15	0.393499	0.000000
raeke	16	0.391369	0.000000
raeke	17	0.452868	0.000000
raeke	18	0.463386	0.000000
raeke	19	0.479540	0.000000
raeke	20	0.487371	0.000000
raeke	21	0.456767	0.000000
raeke	22	0.488350	0.000000
raeke	23	0.495071	0.000000
semimcfecmp	0	0.402473	0.000000
semimcfecmp	1	0.392510	0.000000
semimcfecmp	2	0.392794	0.000000
semimcfecmp	3	0.342467	0.000000
semimcfecmp	4	0.308205	0.000000
semimcfecmp	5	0.324246	0.000000
semimcfecmp	6	0.298897	0.000000
semimcfecmp	7	0.302592	0.000000
semimcfecmp	8	0.322272	0.000000
semimcfecmp	9	0.333103	0.000000
semimcfecmp	10	0.338197	0.000000
semimcfecmp	11	0.342520	0.000000
semimcfecmp	12	0.378046	0.000000
