# solver	iter	mean-congestion	stddev
akecmp	0	0.498974	0.000000
akecmp	1	0.498974	0.000000
akmcf	0	0.509755	0.000000
akmcf	1	0.509755	0.000000
akraeke	0	0.911034	0.000000
akraeke	1	0.911034	0.000000
akvlb	0	0.794938	0.000000
akvlb	1	0.794938	0.000000
ecmp	0	0.498974	0.000000
ecmp	1	0.498974	0.000000
mcf	0	0.512265	0.000000
mcf	1	0.512265	0.000000
mwmcf	0	0.498974	0.000000
mwmcf	1	0.498974	0.000000
raeke	0	0.913341	0.000000
raeke	1	0.913341	0.000000
semimcfecmp	0	0.498974	0.000000
semimcfecmp	1	0.498974	0.000000
semimcfmcf	0	0.509676	0.000000
semimcfmcf	1	0.509676	0.000000
semimcfraeke	0	0.509434	0.000000
semimcfraeke	1	0.509434	0.000000
semimcfvlb	0	0.509838	0.000000
semimcfvlb	1	0.509838	0.000000
spf	0	0.498974	0.000000
spf	1	0.498974	0.000000
vlb	0	0.794938	0.000000
vlb	1	0.794938	0.000000

