# solver	iter	total-throughput	stddev
ecmp	0	0.820160	0.000000
ecmp	1	0.823828	0.000000
ecmp	2	0.565608	0.000000
ecmp	3	0.569152	0.000000
ecmp	4	0.567350	0.000000
ecmp	5	0.566245	0.000000
ecmp	6	0.567006	0.000000
ecmp	7	0.564459	0.000000
ecmp	8	0.565635	0.000000
ecmp	9	0.563393	0.000000
ecmp	10	0.563344	0.000000
ecmp	11	0.564264	0.000000
ecmp	12	0.565890	0.000000
ecmp	13	0.565029	0.000000
ecmp	14	0.568609	0.000000
ecmp	15	0.570386	0.000000
ecmp	16	0.567386	0.000000
ecmp	17	0.567032	0.000000
ecmp	18	0.565094	0.000000
ecmp	19	0.562152	0.000000
ecmp	20	0.562232	0.000000
ecmp	21	0.566386	0.000000
ecmp	22	0.567965	0.000000
ecmp	23	0.567647	0.000000
ksp	0	0.849555	0.000000
ksp	1	0.856286	0.000000
ksp	2	0.690568	0.000000
ksp	3	0.722654	0.000000
ksp	4	0.747544	0.000000
ksp	5	0.730716	0.000000
ksp	6	0.753130	0.000000
ksp	7	0.748723	0.000000
ksp	8	0.735372	0.000000
ksp	9	0.722832	0.000000
ksp	10	0.717150	0.000000
ksp	11	0.713299	0.000000
ksp	12	0.698263	0.000000
ksp	13	0.694635	0.000000
ksp	14	0.693890	0.000000
ksp	15	0.720488	0.000000
ksp	16	0.719496	0.000000
ksp	17	0.687417	0.000000
ksp	18	0.681920	0.000000
ksp	19	0.672473	0.000000
ksp	20	0.669308	0.000000
ksp	21	0.685090	0.000000
ksp	22	0.673590	0.000000
ksp	23	0.670636	0.000000
mcf	0	0.877626	0.000000
mcf	1	0.918963	0.000000
mcf	2	0.644272	0.000000
mcf	3	0.691246	0.000000
mcf	4	0.713284	0.000000
mcf	5	0.699976	0.000000
mcf	6	0.709232	0.000000
mcf	7	0.704258	0.000000
mcf	8	0.704392	0.000000
mcf	9	0.693008	0.000000
mcf	10	0.687273	0.000000
mcf	11	0.683325	0.000000
mcf	12	0.661660	0.000000
mcf	13	0.663909	0.000000
mcf	14	0.663108	0.000000
mcf	15	0.689837	0.000000
mcf	16	0.689438	0.000000
mcf	17	0.640252	0.000000
mcf	18	0.650071	0.000000
mcf	19	0.617535	0.000000
mcf	20	0.638040	0.000000
mcf	21	0.637216	0.000000
mcf	22	0.616068	0.000000
mcf	23	0.610778	0.000000
raeke	0	0.863688	0.000000
raeke	1	0.867524	0.000000
raeke	2	0.702006	0.000000
raeke	3	0.733209	0.000000
raeke	4	0.757179	0.000000
raeke	5	0.740725	0.000000
raeke	6	0.762004	0.000000
raeke	7	0.757907	0.000000
raeke	8	0.745233	0.000000
raeke	9	0.732915	0.000000
raeke	10	0.727400	0.000000
raeke	11	0.723671	0.000000
raeke	12	0.709546	0.000000
raeke	13	0.705240	0.000000
raeke	14	0.705263	0.000000
raeke	15	0.731369	0.000000
raeke	16	0.730352	0.000000
raeke	17	0.699124	0.000000
raeke	18	0.693289	0.000000
raeke	19	0.684098	0.000000
raeke	20	0.680996	0.000000
raeke	21	0.696433	0.000000
raeke	22	0.685425	0.000000
raeke	23	0.682631	0.000000
semimcfecmp	0	0.820333	0.000000
semimcfecmp	1	0.824060	0.000000
semimcfecmp	2	0.565647	0.000000
semimcfecmp	3	0.569189	0.000000
semimcfecmp	4	0.567387	0.000000
semimcfecmp	5	0.566236	0.000000
semimcfecmp	6	0.566997	0.000000
semimcfecmp	7	0.564495	0.000000
semimcfecmp	8	0.565670	0.000000
semimcfecmp	9	0.563427	0.000000
semimcfecmp	10	0.563378	0.000000
semimcfecmp	11	0.564300	0.000000
semimcfecmp	12	0.565930	0.000000
semimcfecmp	13	0.565022	0.000000
semimcfecmp	14	0.568602	0.000000
semimcfecmp	15	0.570378	0.000000
semimcfecmp	16	0.567378	0.000000
semimcfecmp	17	0.567024	0.000000
semimcfecmp	18	0.565088	0.000000
semimcfecmp	19	0.562185	0.000000
semimcfecmp	20	0.562265	0.000000
semimcfecmp	21	0.566420	0.000000
semimcfecmp	22	0.567999	0.000000
semimcfecmp	23	0.567681	0.000000
semimcfksp	0	0.918196	0.000000
semimcfksp	1	0.924940	0.000000
semimcfksp	2	0.693504	0.000000
semimcfksp	3	0.726489	0.000000
semimcfksp	4	0.750574	0.000000
semimcfksp	5	0.734632	0.000000
semimcfksp	6	0.756127	0.000000
semimcfksp	7	0.752504	0.000000
semimcfksp	8	0.739200	0.000000
semimcfksp	9	0.727079	0.000000
semimcfksp	10	0.721123	0.000000
semimcfksp	11	0.716397	0.000000
semimcfksp	12	0.701013	0.000000
semimcfksp	13	0.697801	0.000000
semimcfksp	14	0.696929	0.000000
semimcfksp	15	0.723994	0.000000
semimcfksp	16	0.722994	0.000000
semimcfksp	17	0.689895	0.000000
semimcfksp	18	0.684703	0.000000
semimcfksp	19	0.674578	0.000000
semimcfksp	20	0.671341	0.000000
semimcfksp	21	0.687389	0.000000
semimcfksp	22	0.675306	0.000000
semimcfksp	23	0.672332	0.000000
semimcfmcf	0	0.877626	0.000000
semimcfmcf	1	0.884928	0.000000
semimcfmcf	2	0.645910	0.000000
semimcfmcf	3	0.691655	0.000000
semimcfmcf	4	0.716364	0.000000
semimcfmcf	5	0.699885	0.000000
semimcfmcf	6	0.721648	0.000000
semimcfmcf	7	0.718035	0.000000
semimcfmcf	8	0.705003	0.000000
semimcfmcf	9	0.693173	0.000000
semimcfmcf	10	0.687286	0.000000
semimcfmcf	11	0.683326	0.000000
semimcfmcf	12	0.665217	0.000000
semimcfmcf	13	0.659723	0.000000
semimcfmcf	14	0.653796	0.000000
semimcfmcf	15	0.689835	0.000000
semimcfmcf	16	0.689438	0.000000
semimcfmcf	17	0.642249	0.000000
semimcfmcf	18	0.634475	0.000000
semimcfmcf	19	0.620851	0.000000
semimcfmcf	20	0.615972	0.000000
semimcfmcf	21	0.639244	0.000000
semimcfmcf	22	0.616018	0.000000
semimcfmcf	23	0.610812	0.000000
semimcfmcfenv	0	0.877626	0.000000
semimcfmcfenv	1	0.884928	0.000000
semimcfmcfenv	2	0.645940	0.000000
semimcfmcfenv	3	0.691683	0.000000
semimcfmcfenv	4	0.716392	0.000000
semimcfmcfenv	5	0.699912	0.000000
semimcfmcfenv	6	0.721675	0.000000
semimcfmcfenv	7	0.718062	0.000000
semimcfmcfenv	8	0.705030	0.000000
semimcfmcfenv	9	0.693200	0.000000
semimcfmcfenv	10	0.687313	0.000000
semimcfmcfenv	11	0.683353	0.000000
semimcfmcfenv	12	0.665244	0.000000
semimcfmcfenv	13	0.659750	0.000000
semimcfmcfenv	14	0.653823	0.000000
semimcfmcfenv	15	0.689861	0.000000
semimcfmcfenv	16	0.689465	0.000000
semimcfmcfenv	17	0.642276	0.000000
semimcfmcfenv	18	0.634502	0.000000
semimcfmcfenv	19	0.620878	0.000000
semimcfmcfenv	20	0.615999	0.000000
semimcfmcfenv	21	0.639271	0.000000
semimcfmcfenv	22	0.616040	0.000000
