# solver	iter	mean-exp-congestion	stddev
ecmp	0	0.153794	0.000000
ecmp	1	0.151020	0.000000
ecmp	2	0.149382	0.000000
ecmp	3	0.131432	0.000000
ecmp	4	0.117716	0.000000
ecmp	5	0.126235	0.000000
ecmp	6	0.115718	0.000000
ecmp	7	0.116260	0.000000
ecmp	8	0.123522	0.000000
ecmp	9	0.128009	0.000000
ecmp	10	0.129940	0.000000
ecmp	11	0.132226	0.000000
ecmp	12	0.142651	0.000000
ecmp	13	0.144961	0.000000
ecmp	14	0.147992	0.000000
ecmp	15	0.132311	0.000000
ecmp	16	0.130584	0.000000
ecmp	17	0.151070	0.000000
ecmp	18	0.154192	0.000000
ecmp	19	0.158703	0.000000
ecmp	20	0.161436	0.000000
ecmp	21	0.151642	0.000000
ecmp	22	0.162775	0.000000
ecmp	23	0.165006	0.000000
ksp	0	0.228391	0.000000
ksp	1	0.224198	0.000000
ksp	2	0.221906	0.000000
ksp	3	0.195643	0.000000
ksp	4	0.175182	0.000000
ksp	5	0.187702	0.000000
ksp	6	0.172189	0.000000
ksp	7	0.172656	0.000000
ksp	8	0.183252	0.000000
ksp	9	0.189826	0.000000
ksp	10	0.192566	0.000000
ksp	11	0.195982	0.000000
ksp	12	0.211304	0.000000
ksp	13	0.215449	0.000000
ksp	14	0.219704	0.000000
ksp	15	0.196723	0.000000
ksp	16	0.194111	0.000000
ksp	17	0.224580	0.000000
ksp	18	0.229385	0.000000
ksp	19	0.235722	0.000000
ksp	20	0.239824	0.000000
ksp	21	0.225211	0.000000
ksp	22	0.241695	0.000000
ksp	23	0.245048	0.000000
mcf	0	0.221538	0.000000
mcf	1	0.224110	0.000000
mcf	2	0.217326	0.000000
mcf	3	0.220040	0.000000
mcf	4	0.174157	0.000000
mcf	5	0.180995	0.000000
mcf	6	0.180266	0.000000
mcf	7	0.180609	0.000000
mcf	8	0.193584	0.000000
mcf	9	0.191521	0.000000
mcf	10	0.189689	0.000000
mcf	11	0.196552	0.000000
mcf	12	0.211103	0.000000
mcf	13	0.216171	0.000000
mcf	14	0.221866	0.000000
mcf	15	0.194850	0.000000
mcf	16	0.189919	0.000000
mcf	17	0.228762	0.000000
mcf	18	0.226495	0.000000
mcf	19	0.229184	0.000000
mcf	20	0.256688	0.000000
mcf	21	0.222285	0.000000
mcf	22	0.233298	0.000000
mcf	23	0.241809	0.000000
raeke	0	0.188254	0.000000
raeke	1	0.184796	0.000000
