# solver	iter	congestion-drop	stddev
ecmp	0	0.179840	0.000000
ecmp	1	0.176172	0.000000
ecmp	2	0.102582	0.000000
ecmp	3	0.070224	0.000000
ecmp	4	0.041538	0.000000
ecmp	5	0.060834	0.000000
ecmp	6	0.040911	0.000000
ecmp	7	0.045446	0.000000
ecmp	8	0.058903	0.000000
ecmp	9	0.065373	0.000000
ecmp	10	0.069451	0.000000
ecmp	11	0.075028	0.000000
ecmp	12	0.090800	0.000000
ecmp	13	0.094529	0.000000
ecmp	14	0.095883	0.000000
ecmp	15	0.070800	0.000000
ecmp	16	0.070101	0.000000
ecmp	17	0.102612	0.000000
ecmp	18	0.108259	0.000000
ecmp	19	0.116189	0.000000
ecmp	20	0.118528	0.000000
ecmp	21	0.103652	0.000000
ecmp	22	0.118843	0.000000
ecmp	23	0.121619	0.000000
ksp	0	0.208564	0.000000
ksp	1	0.202042	0.000000
ksp	2	0.181292	0.000000
ksp	3	0.121329	0.000000
ksp	4	0.068537	0.000000
ksp	5	0.100230	0.000000
ksp	6	0.064467	0.000000
ksp	7	0.067040	0.000000
ksp	8	0.090724	0.000000
ksp	9	0.106669	0.000000
ksp	10	0.115050	0.000000
ksp	11	0.125187	0.000000
ksp	12	0.157399	0.000000
ksp	13	0.165689	0.000000
ksp	14	0.170595	0.000000
ksp	15	0.120167	0.000000
ksp	16	0.116824	0.000000
ksp	17	0.180946	0.000000
ksp	18	0.190596	0.000000
ksp	19	0.203982	0.000000
ksp	20	0.209798	0.000000
ksp	21	0.183081	0.000000
ksp	22	0.213368	0.000000
ksp	23	0.219327	0.000000
mcf	0	0.122374	0.000000
mcf	1	0.081037	0.000000
mcf	2	0.089436	0.000000
mcf	3	0.014363	0.000000
mcf	4	0.000000	0.000000
mcf	5	0.000000	0.000000
mcf	6	0.000000	0.000000
mcf	7	0.000000	0.000000
mcf	8	0.000000	0.000000
mcf	9	0.003184	0.000000
mcf	10	0.009861	0.000000
mcf	11	0.018031	0.000000
mcf	12	0.055951	0.000000
mcf	13	0.063876	0.000000
mcf	14	0.062671	0.000000
mcf	15	0.012104	0.000000
mcf	16	0.015083	0.000000
mcf	17	0.103249	0.000000
mcf	18	0.088785	0.000000
mcf	19	0.134635	0.000000
mcf	20	0.110767	0.000000
mcf	21	0.100442	0.000000
mcf	22	0.142539	0.000000
mcf	23	0.155732	0.000000
raeke	0	0.102465	0.000000
raeke	1	0.096080	0.000000
raeke	2	0.066059	0.000000
raeke	3	0.016254	0.000000
raeke	4	0.000000	0.000000
raeke	5	0.005581	0.000000
raeke	6	0.000000	0.000000
raeke	7	0.000000	0.000000
raeke	8	0.001867	0.000000
raeke	9	0.009484	0.000000
raeke	10	0.013668	0.000000
raeke	11	0.019015	0.000000
raeke	12	0.044754	0.000000
raeke	13	0.052955	0.000000
raeke	14	0.057842	0.000000
raeke	15	0.016478	0.000000
raeke	16	0.014709	0.000000
raeke	17	0.069213	0.000000
raeke	18	0.079360	0.000000
raeke	19	0.093209	0.000000
raeke	20	0.098748	0.000000
raeke	21	0.071724	0.000000
raeke	22	0.100790	0.000000
raeke	23	0.106100	0.000000
semimcfecmp	0	0.179667	0.000000
semimcfecmp	1	0.175940	0.000000
semimcfecmp	2	0.063092	0.000000
semimcfecmp	3	0.030044	0.000000
semimcfecmp	4	0.002098	0.000000
semimcfecmp	5	0.021859	0.000000
semimcfecmp	6	0.001608	0.000000
semimcfecmp	7	0.004986	0.000000
semimcfecmp	8	0.018611	0.000000
semimcfecmp	9	0.025077	0.000000
semimcfecmp	10	0.028641	0.000000
semimcfecmp	11	0.034370	0.000000
semimcfecmp	12	0.050082	0.000000
semimcfecmp	13	0.054895	0.000000
semimcfecmp	14	0.056756	0.000000
semimcfecmp	15	0.030985	0.000000
semimcfecmp	16	0.029948	0.000000
semimcfecmp	17	0.062437	0.000000
semimcfecmp	18	0.067884	0.000000
semimcfecmp	19	0.074815	0.000000
semimcfecmp	20	0.077277	0.000000
semimcfecmp	21	0.061973	0.000000
semimcfecmp	22	0.075938	0.000000
semimcfecmp	23	0.078971	0.000000
semimcfksp	0	0.107715	0.000000
semimcfksp	1	0.075060	0.000000
