# solver	iter	mean-congestion	stddev
akecmp	0	0.422200	0.000000
akecmp	1	0.422200	0.000000
akmcf	0	0.208871	0.000000
akmcf	1	0.208871	0.000000
akraeke	0	0.434877	0.000000
akraeke	1	0.434877	0.000000
akvlb	0	0.448691	0.000000
akvlb	1	0.448691	0.000000
ecmp	0	0.422200	0.000000
ecmp	1	0.422200	0.000000
mcf	0	0.392958	0.000000
mcf	1	0.392958	0.000000
mwmcf	0	0.422200	0.000000
mwmcf	1	0.422200	0.000000
raeke	0	0.417967	0.000000
raeke	1	0.417967	0.000000
semimcfecmp	0	0.422200	0.000000
semimcfecmp	1	0.422200	0.000000
semimcfmcf	0	0.169071	0.000000
semimcfmcf	1	0.169071	0.000000
semimcfraeke	0	0.218964	0.000000
semimcfraeke	1	0.218964	0.000000
semimcfvlb	0	0.208616	0.000000
semimcfvlb	1	0.208616	0.000000
spf	0	0.422200	0.000000
spf	1	0.422200	0.000000
vlb	0	0.448691	0.000000
vlb	1	0.448691	0.000000

