# solver	iter	mean-congestion	stddev
ecmp	0	0.422200	0.000000
ecmp	1	0.422200	0.000000
ecmp	2	0.422200	0.000000
ecmp	3	0.422200	0.000000
ecmp	4	0.422200	0.000000
ecmp	5	0.422200	0.000000
ecmp	6	0.422200	0.000000
ecmp	7	0.422200	0.000000
ecmp	8	0.422200	0.000000
ecmp	9	0.422200	0.000000
ksp	0	0.320051	0.000000
ksp	1	0.320051	0.000000
ksp	2	0.320051	0.000000
ksp	3	0.320051	0.000000
ksp	4	0.320051	0.000000
ksp	5	0.320051	0.000000
ksp	6	0.320051	0.000000
ksp	7	0.320051	0.000000
ksp	8	0.320051	0.000000
ksp	9	0.320051	0.000000
mcf	0	0.383167	0.000000
mcf	1	0.383167	0.000000
mcf	2	0.383167	0.000000
mcf	3	0.383167	0.000000
mcf	4	0.383167	0.000000
mcf	5	0.383167	0.000000
mcf	6	0.383167	0.000000
mcf	7	0.383167	0.000000
mcf	8	0.383167	0.000000
mcf	9	0.383167	0.000000
mwmcf	0	0.422200	0.000000
mwmcf	1	0.422200	0.000000
mwmcf	2	0.422200	0.000000
mwmcf	3	0.422200	0.000000
mwmcf	4	0.422200	0.000000
mwmcf	5	0.422200	0.000000
mwmcf	6	0.422200	0.000000
mwmcf	7	0.422200	0.000000
mwmcf	8	0.422200	0.000000
mwmcf	9	0.422200	0.000000
raeke	0	0.282669	0.000000
raeke	1	0.282669	0.000000
raeke	2	0.282669	0.000000
raeke	3	0.282669	0.000000
raeke	4	0.282669	0.000000
raeke	5	0.282669	0.000000
raeke	6	0.282669	0.000000
raeke	7	0.282669	0.000000
raeke	8	0.282669	0.000000
raeke	9	0.282669	0.000000
semimcfecmp	0	0.422200	0.000000
semimcfecmp	1	0.422200	0.000000
semimcfecmp	2	0.422200	0.000000
semimcfecmp	3	0.422200	0.000000
semimcfecmp	4	0.422200	0.000000
semimcfecmp	5	0.422200	0.000000
semimcfecmp	6	0.422200	0.000000
semimcfecmp	7	0.422200	0.000000
semimcfecmp	8	0.422200	0.000000
semimcfecmp	9	0.422200	0.000000
semimcfksp	0	0.278707	0.000000
semimcfksp	1	0.278707	0.000000
semimcfksp	2	0.278707	0.000000
semimcfksp	3	0.278707	0.000000
semimcfksp	4	0.278707	0.000000
semimcfksp	5	0.278707	0.000000
semimcfksp	6	0.278707	0.000000
semimcfksp	7	0.278707	0.000000
semimcfksp	8	0.278707	0.000000
semimcfksp	9	0.278707	0.000000
semimcfmcf	0	0.169071	0.000000
semimcfmcf	1	0.169071	0.000000
semimcfmcf	2	0.169071	0.000000
semimcfmcf	3	0.169071	0.000000
semimcfmcf	4	0.169071	0.000000
semimcfmcf	5	0.169071	0.000000
semimcfmcf	6	0.169071	0.000000
semimcfmcf	7	0.169071	0.000000
semimcfmcf	8	0.169071	0.000000
semimcfmcf	9	0.169071	0.000000
semimcfraeke	0	0.201950	0.000000
semimcfraeke	1	0.201950	0.000000
semimcfraeke	2	0.201950	0.000000
semimcfraeke	3	0.201950	0.000000
semimcfraeke	4	0.201950	0.000000
semimcfraeke	5	0.201950	0.000000
semimcfraeke	6	0.201950	0.000000
semimcfraeke	7	0.201950	0.000000
semimcfraeke	8	0.201950	0.000000
semimcfraeke	9	0.201950	0.000000
semimcfvlb	0	0.176624	0.000000
semimcfvlb	1	0.176624	0.000000
semimcfvlb	2	0.176624	0.000000
semimcfvlb	3	0.176624	0.000000
semimcfvlb	4	0.176624	0.000000
semimcfvlb	5	0.176624	0.000000
semimcfvlb	6	0.176624	0.000000
semimcfvlb	7	0.176624	0.000000
semimcfvlb	8	0.176624	0.000000
semimcfvlb	9	0.176624	0.000000
spf	0	0.422200	0.000000
spf	1	0.422200	0.000000
spf	2	0.422200	0.000000
spf	3	0.422200	0.000000
spf	4	0.422200	0.000000
spf	5	0.422200	0.000000
spf	6	0.422200	0.000000
spf	7	0.422200	0.000000
spf	8	0.422200	0.000000
spf	9	0.422200	0.000000
vlb	0	0.178912	0.000000
vlb	1	0.170434	0.000000
vlb	2	0.173024	0.000000
vlb	3	0.167548	0.000000
vlb	4	0.174851	0.000000
vlb	5	0.169414	0.000000
vlb	6	0.170942	0.000000
vlb	7	0.168574	0.000000
vlb	8	0.190455	0.000000
vlb	9	0.167926	0.000000

