#solver	iter	latency-throughput
ecmp	0	
		1. : 0.178406510936
		2. : 0.467912379135
		3. : 0.707229227951
		4. : 0.759283549877
		5. : 0.820159808026
ecmp	1	
		1. : 0.178757795664
		2. : 0.470101192824
		3. : 0.708709327411
		4. : 0.763050829608
		5. : 0.823827555988
ecmp	2	
		1. : 0.174733632032
		2. : 0.337922868178
		3. : 0.527825316681
		4. : 0.551249863357
		5. : 0.565608153534
ecmp	3	
		1. : 0.178630636578
		2. : 0.343194769481
		3. : 0.53194039642
		4. : 0.555347079639
		5. : 0.569152339974
ecmp	4	
		1. : 0.179430292648
		2. : 0.341415491828
		3. : 0.530321796544
		4. : 0.553663068071
		5. : 0.567349944451
ecmp	5	
		1. : 0.173923040264
		2. : 0.339949115433
		3. : 0.528767915966
		4. : 0.552158881387
		5. : 0.566245015798
ecmp	6	
		1. : 0.173795479963
		2. : 0.340770841092
		3. : 0.529803631511
		4. : 0.553001526875
		5. : 0.567006344799
ecmp	7	
		1. : 0.169846796824
		2. : 0.336474741868
		3. : 0.526901169602
		4. : 0.550206928761
		5. : 0.564459333377
ecmp	8	
		1. : 0.168697911017
		2. : 0.336128014688
		3. : 0.528035782259
		4. : 0.551272097586
		5. : 0.565635118258
ecmp	9	
		1. : 0.172021613571
		2. : 0.33435946293
		3. : 0.52633696528
		4. : 0.549681677697
		5. : 0.563392832159
ecmp	10	
		1. : 0.170931934885
		2. : 0.333014332129
		3. : 0.526136115797
		4. : 0.549606006491
		5. : 0.563343646148
ecmp	11	
		1. : 0.170493012485
		2. : 0.334207962355
		3. : 0.526329468332
		4. : 0.55004531225
		5. : 0.564263998815
ecmp	12	
		1. : 0.170221492753
		2. : 0.335107788649
		3. : 0.527790183629
		4. : 0.551569638218
		5. : 0.565889976679
ecmp	13	
		1. : 0.174643241306
		2. : 0.336206010244
		3. : 0.52745646325
		4. : 0.551331734081
		5. : 0.565028570739
ecmp	14	
		1. : 0.174109528329
		2. : 0.339381353854
		3. : 0.530579640678
		4. : 0.55446919861
		5. : 0.568609433738
ecmp	15	
		1. : 0.174860430862
		2. : 0.341982921008
		3. : 0.533262735622
		4. : 0.556461750022
		5. : 0.570385821991
ecmp	16	
		1. : 0.174692118391
		2. : 0.337793773107
		3. : 0.530567593017
		4. : 0.553343360645
		5. : 0.567385705849
ecmp	17	
		1. : 0.174609005257
		2. : 0.337445020158
