# solver	iter	max-congestion	stddev
akecmp	0	1.405854	0.000000
akecmp	1	1.405854	0.000000
akmcf	0	0.931323	0.000000
akmcf	1	0.931323	0.000000
akraeke	0	1.100202	0.000000
akraeke	1	1.100202	0.000000
akvlb	0	2.309680	0.000000
akvlb	1	2.309680	0.000000
ecmp	0	1.405854	0.000000
ecmp	1	1.405854	0.000000
mcf	0	0.931323	0.000000
mcf	1	0.931323	0.000000
mwmcf	0	1.215661	0.000000
mwmcf	1	1.215661	0.000000
raeke	0	1.113396	0.000000
raeke	1	1.113396	0.000000
semimcfecmp	0	0.931323	0.000000
semimcfecmp	1	0.931323	0.000000
semimcfmcf	0	0.931323	0.000000
semimcfmcf	1	0.931323	0.000000
semimcfraeke	0	0.931323	0.000000
semimcfraeke	1	0.931323	0.000000
semimcfvlb	0	0.931323	0.000000
semimcfvlb	1	0.931323	0.000000
spf	0	1.862645	0.000000
spf	1	1.862645	0.000000
vlb	0	2.309680	0.000000
vlb	1	2.309680	0.000000

