# solver	iter	edge-congestion
akecmp	0	
		(s0,s1) : 0.0598707369396
		(s0,s5) : 0.0598707369396
		(s1,s0) : 0.0598707369396
		(s1,s2) : 0.345919813429
		(s1,s6) : 0.286049076489
		(h0,s2) : 0.0186264514923
		(s2,h0) : 0.0186264514923
		(s2,s1) : 0.345919813429
		(s2,s3) : 0.820450839542
		(s2,s7) : 1.40585360073
		(s3,s2) : 0.820450839542
		(s3,s4) : 1.24176343282
		(s3,s8) : 0.421312593278
		(h1,s4) : 0.0186264514923
		(s4,h1) : 0.0186264514923
		(s4,s3) : 1.24176343282
		(s4,s9) : 0.62088171641
		(s5,s0) : 0.0598707369396
		(s5,s6) : 0.223960904848
		(s5,s10) : 0.283831641788
		(s6,s1) : 0.286049076489
		(s6,s5) : 0.223960904848
		(s6,s7) : 0.74173190764
		(s6,s11) : 0.803820079281
		(h2,s7) : 0.0186264514923
		(s7,h2) : 0.0186264514923
		(s7,s2) : 1.40585360073
		(s7,s6) : 0.74173190764
		(s7,s8) : 0.576533022381
		(s7,s12) : 1.24065471547
		(s8,s3) : 0.421312593278
		(s8,s7) : 0.576533022381
		(s8,s9) : 0.421312593278
		(s8,s13) : 0.266092164176
		(s9,s4) : 0.62088171641
		(s9,s8) : 0.421312593278
		(s9,s14) : 0.199569123132
		(s10,s5) : 0.283831641788
		(s10,s11) : 0.427964897383
		(s10,s15) : 0.71179653917
		(s11,s6) : 0.803820079281
		(s11,s10) : 0.427964897383
		(s11,s12) : 0.697383213611
		(s11,s16) : 1.07323839551
		(s12,s7) : 1.24065471547
		(s12,s11) : 0.697383213611
		(s12,s13) : 0.239482947758
		(s12,s17) : 0.782754449617
		(s13,s8) : 0.266092164176
		(s13,s12) : 0.239482947758
		(s13,s14) : 0.133046082088
		(s13,s18) : 0.159655298506
		(s14,s9) : 0.199569123132
		(s14,s13) : 0.133046082088
		(s14,s19) : 0.066523041044
		(h3,s15) : 0.0186264514923
		(s15,h3) : 0.0186264514923
		(s15,s10) : 0.71179653917
		(s15,s16) : 0.918017966407
		(s15,s20) : 0.232830643654
		(s16,s11) : 1.07323839551
		(s16,s15) : 0.918017966407
		(s16,s17) : 0.599816086746
		(s16,s21) : 1.22069780316
		(s17,s12) : 0.782754449617
		(s17,s16) : 0.599816086746
		(s17,s18) : 0.159655298506
		(s17,s22) : 0.342593661376
		(s18,s13) : 0.159655298506
		(s18,s17) : 0.159655298506
		(s18,s19) : 0.0532184328352
		(s18,s23) : 0.0532184328352
		(s19,s14) : 0.066523041044
		(s19,s18) : 0.0532184328352
		(s19,s24) : 0.0133046082088
		(s20,s15) : 0.232830643654
		(s20,s21) : 0.232830643654
		(h4,s21) : 0.0186264514923
		(s21,h4) : 0.0186264514923
		(s21,s16) : 1.22069780316
		(s21,s20) : 0.232830643654
		(s21,s22) : 0.40911670242
		(s22,s17) : 0.342593661376
		(s22,s21) : 0.40911670242
		(s22,s23) : 0.066523041044
		(s23,s18) : 0.0532184328352
		(s23,s22) : 0.066523041044
		(s23,s24) : 0.0133046082088
		(s24,s19) : 0.0133046082088
		(s24,s23) : 0.0133046082088
akecmp	1	
		(s0,s1) : 0.0598707369396
		(s0,s5) : 0.0598707369396
		(s1,s0) : 0.0598707369396
		(s1,s2) : 0.345919813429
		(s1,s6) : 0.286049076489
		(h0,s2) : 0.0186264514923
		(s2,h0) : 0.0186264514923
		(s2,s1) : 0.345919813429
		(s2,s3) : 0.820450839542
		(s2,s7) : 1.40585360073
		(s3,s2) : 0.820450839542
		(s3,s4) : 1.24176343282
		(s3,s8) : 0.421312593278
		(h1,s4) : 0.0186264514923
		(s4,h1) : 0.0186264514923
		(s4,s3) : 1.24176343282
		(s4,s9) : 0.62088171641
		(s5,s0) : 0.0598707369396
		(s5,s6) : 0.223960904848
		(s5,s10) : 0.283831641788
		(s6,s1) : 0.286049076489
		(s6,s5) : 0.223960904848
		(s6,s7) : 0.74173190764
		(s6,s11) : 0.803820079281
		(h2,s7) : 0.0186264514923
		(s7,h2) : 0.0186264514923
		(s7,s2) : 1.40585360073
		(s7,s6) : 0.74173190764
		(s7,s8) : 0.576533022381
		(s7,s12) : 1.24065471547
		(s8,s3) : 0.421312593278
		(s8,s7) : 0.576533022381
		(s8,s9) : 0.421312593278
		(s8,s13) : 0.266092164176
		(s9,s4) : 0.62088171641
		(s9,s8) : 0.421312593278
		(s9,s14) : 0.199569123132
		(s10,s5) : 0.283831641788
		(s10,s11) : 0.427964897383
		(s10,s15) : 0.71179653917
		(s11,s6) : 0.803820079281
		(s11,s10) : 0.427964897383
		(s11,s12) : 0.697383213611
		(s11,s16) : 1.07323839551
		(s12,s7) : 1.24065471547
		(s12,s11) : 0.697383213611
		(s12,s13) : 0.239482947758
		(s12,s17) : 0.782754449617
		(s13,s8) : 0.266092164176
		(s13,s12) : 0.239482947758
		(s13,s14) : 0.133046082088
		(s13,s18) : 0.159655298506
		(s14,s9) : 0.199569123132
		(s14,s13) : 0.133046082088
		(s14,s19) : 0.066523041044
		(h3,s15) : 0.0186264514923
		(s15,h3) : 0.0186264514923
		(s15,s10) : 0.71179653917
		(s15,s16) : 0.918017966407
		(s15,s20) : 0.232830643654
		(s16,s11) : 1.07323839551
		(s16,s15) : 0.918017966407
		(s16,s17) : 0.599816086746
		(s16,s21) : 1.22069780316
		(s17,s12) : 0.782754449617
		(s17,s16) : 0.599816086746
		(s17,s18) : 0.159655298506
		(s17,s22) : 0.342593661376
		(s18,s13) : 0.159655298506
		(s18,s17) : 0.159655298506
		(s18,s19) : 0.0532184328352
		(s18,s23) : 0.0532184328352
		(s19,s14) : 0.066523041044
		(s19,s18) : 0.0532184328352
		(s19,s24) : 0.0133046082088
		(s20,s15) : 0.232830643654
		(s20,s21) : 0.232830643654
		(h4,s21) : 0.0186264514923
		(s21,h4) : 0.0186264514923
		(s21,s16) : 1.22069780316
		(s21,s20) : 0.232830643654
		(s21,s22) : 0.40911670242
		(s22,s17) : 0.342593661376
		(s22,s21) : 0.40911670242
		(s22,s23) : 0.066523041044
		(s23,s18) : 0.0532184328352
		(s23,s22) : 0.066523041044
		(s23,s24) : 0.0133046082088
		(s24,s19) : 0.0133046082088
		(s24,s23) : 0.0133046082088
akmcf	0	
		(s1,s2) : 0.931322574615
		(s1,s6) : 0.931322574615
		(h0,s2) : 0.0186264514923
		(s2,h0) : 0.0186264514923
		(s2,s1) : 0.931322574615
		(s2,s3) : 0.931322574615
		(s2,s7) : 0.931322574615
		(s3,s2) : 0.931322574615
		(s3,s4) : 0.931322574615
		(s3,s8) : 0.931322574615
		(h1,s4) : 0.0186264514923
		(s4,h1) : 0.0186264514923
		(s4,s3) : 0.931322574615
		(s4,s9) : 0.931322574615
		(s5,s6) : 0.465661287308
		(s5,s10) : 0.465661287308
		(s6,s1) : 0.931322574615
		(s6,s5) : 0.465661287308
		(s6,s7) : 0.931322574615
		(s6,s11) : 0.931322574615
		(h2,s7) : 0.0186264514923
		(s7,h2) : 0.0186264514923
		(s7,s2) : 0.931322574615
		(s7,s6) : 0.931322574615
		(s7,s8) : 0.931322574615
		(s7,s12) : 0.931322574615
		(s8,s3) : 0.931322574615
		(s8,s7) : 0.931322574615
		(s8,s13) : 0.465661287308
		(s9,s4) : 0.931322574615
		(s9,s8) : 0.465661287308
		(s9,s14) : 0.465661287308
		(s10,s5) : 0.465661287308
		(s10,s15) : 0.465661287308
		(s11,s6) : 0.931322574615
		(s11,s16) : 0.931322574615
		(s12,s7) : 0.931322574615
		(s12,s17) : 0.931322574615
		(s13,s18) : 0.465661287308
		(s14,s9) : 0.931322574615
		(s14,s19) : 0.465661287308
		(h3,s15) : 0.0186264514923
		(s15,h3) : 0.0186264514923
		(s15,s10) : 0.465661287308
		(s15,s16) : 0.931322574615
		(s15,s20) : 0.931322574615
		(s16,s11) : 0.931322574615
		(s16,s15) : 0.931322574615
		(s16,s17) : 0.931322574615
		(s16,s21) : 0.931322574615
		(s17,s12) : 0.931322574615
		(s17,s16) : 0.931322574615
		(s17,s22) : 0.931322574615
		(s18,s23) : 0.931322574615
		(s19,s14) : 0.931322574615
		(s19,s18) : 0.465661287308
		(s20,s15) : 0.931322574615
		(s20,s21) : 0.931322574615
		(h4,s21) : 0.0186264514923
		(s21,h4) : 0.0186264514923
		(s21,s16) : 0.931322574615
		(s21,s20) : 0.931322574615
		(s21,s22) : 0.931322574615
		(s22,s17) : 0.931322574615
		(s22,s21) : 0.931322574615
		(s22,s23) : 0.931322574615
		(s23,s22) : 0.931322574615
		(s23,s24) : 0.931322574615
		(s24,s19) : 0.931322574615
akmcf	1	
		(s1,s2) : 0.931322574615
		(s1,s6) : 0.931322574615
		(h0,s2) : 0.0186264514923
		(s2,h0) : 0.0186264514923
		(s2,s1) : 0.931322574615
		(s2,s3) : 0.931322574615
		(s2,s7) : 0.931322574615
		(s3,s2) : 0.931322574615
		(s3,s4) : 0.931322574615
		(s3,s8) : 0.931322574615
		(h1,s4) : 0.0186264514923
		(s4,h1) : 0.0186264514923
		(s4,s3) : 0.931322574615
		(s4,s9) : 0.931322574615
		(s5,s6) : 0.465661287308
		(s5,s10) : 0.465661287308
		(s6,s1) : 0.931322574615
		(s6,s5) : 0.465661287308
		(s6,s7) : 0.931322574615
		(s6,s11) : 0.931322574615
		(h2,s7) : 0.0186264514923
		(s7,h2) : 0.0186264514923
		(s7,s2) : 0.931322574615
		(s7,s6) : 0.931322574615
		(s7,s8) : 0.931322574615
		(s7,s12) : 0.931322574615
		(s8,s3) : 0.931322574615
		(s8,s7) : 0.931322574615
		(s8,s13) : 0.465661287308
		(s9,s4) : 0.931322574615
		(s9,s8) : 0.465661287308
		(s9,s14) : 0.465661287308
		(s10,s5) : 0.465661287308
		(s10,s15) : 0.465661287308
		(s11,s6) : 0.931322574615
		(s11,s16) : 0.931322574615
		(s12,s7) : 0.931322574615
		(s12,s17) : 0.931322574615
		(s13,s18) : 0.465661287308
		(s14,s9) : 0.931322574615
		(s14,s19) : 0.465661287308
		(h3,s15) : 0.0186264514923
		(s15,h3) : 0.0186264514923
		(s15,s10) : 0.465661287308
		(s15,s16) : 0.931322574615
		(s15,s20) : 0.931322574615
