# solver	iter	total-throughput	stddev
ecmp	0	1.000000	0.000000
ecmp	1	1.000000	0.000000
ecmp	2	0.566650	0.000000
ecmp	3	0.569917	0.000000
ecmp	4	0.567849	0.000000
ecmp	5	0.566965	0.000000
ecmp	6	0.567508	0.000000
ecmp	7	0.564970	0.000000
ecmp	8	0.566288	0.000000
ecmp	9	0.564194	0.000000
ecmp	10	0.564180	0.000000
ecmp	11	0.565106	0.000000
ecmp	12	0.566808	0.000000
ecmp	13	0.566168	0.000000
ecmp	14	0.569596	0.000000
ecmp	15	0.571104	0.000000
ecmp	16	0.568097	0.000000
ecmp	17	0.568072	0.000000
ecmp	18	0.566305	0.000000
ecmp	19	0.563442	0.000000
ecmp	20	0.563557	0.000000
ecmp	21	0.567538	0.000000
ecmp	22	0.569240	0.000000
ecmp	23	0.568949	0.000000
ksp	0	1.000000	0.000000
ksp	1	1.000000	0.000000
ksp	2	0.618990	0.000000
ksp	3	0.623283	0.000000
ksp	4	0.621672	0.000000
ksp	5	0.621047	0.000000
ksp	6	0.622052	0.000000
ksp	7	0.619360	0.000000
ksp	8	0.620411	0.000000
ksp	9	0.618945	0.000000
ksp	10	0.617926	0.000000
ksp	11	0.618182	0.000000
ksp	12	0.619503	0.000000
ksp	13	0.619824	0.000000
ksp	14	0.622448	0.000000
ksp	15	0.623719	0.000000
ksp	16	0.621358	0.000000
ksp	17	0.621368	0.000000
ksp	18	0.620439	0.000000
ksp	19	0.617899	0.000000
ksp	20	0.618287	0.000000
ksp	21	0.620720	0.000000
ksp	22	0.621296	0.000000
ksp	23	0.620996	0.000000
mcf	0	1.000000	0.000000
mcf	1	1.000000	0.000000
mcf	2	0.696739	0.000000
mcf	3	0.699097	0.000000
mcf	4	0.697826	0.000000
mcf	5	0.697881	0.000000
mcf	6	0.698010	0.000000
mcf	7	0.696503	0.000000
mcf	8	0.697176	0.000000
mcf	9	0.696161	0.000000
mcf	10	0.695476	0.000000
mcf	11	0.695803	0.000000
mcf	12	0.696800	0.000000
mcf	13	0.696510	0.000000
mcf	14	0.698193	0.000000
mcf	15	0.699052	0.000000
mcf	16	0.697353	0.000000
mcf	17	0.697229	0.000000
mcf	18	0.696567	0.000000
mcf	19	0.695159	0.000000
mcf	20	0.694876	0.000000
mcf	21	0.696666	0.000000
mcf	22	0.697341	0.000000
mcf	23	0.697113	0.000000
raeke	0	1.000000	0.000000
raeke	1	1.000000	0.000000
raeke	2	0.633374	0.000000
raeke	3	0.636456	0.000000
raeke	4	0.634861	0.000000
raeke	5	0.634171	0.000000
raeke	6	0.634403	0.000000
raeke	7	0.632331	0.000000
raeke	8	0.633257	0.000000
raeke	9	0.631537	0.000000
raeke	10	0.630995	0.000000
raeke	11	0.631741	0.000000
raeke	12	0.633094	0.000000
raeke	13	0.632585	0.000000
raeke	14	0.635320	0.000000
raeke	15	0.636504	0.000000
raeke	16	0.634100	0.000000
raeke	17	0.634082	0.000000
raeke	18	0.632676	0.000000
raeke	19	0.630395	0.000000
raeke	20	0.630334	0.000000
raeke	21	0.633131	0.000000
raeke	22	0.634266	0.000000
raeke	23	0.633893	0.000000
semimcfecmp	0	1.000000	0.000000
semimcfecmp	1	1.000000	0.000000
semimcfecmp	2	0.567418	0.000000
semimcfecmp	3	0.570650	0.000000
semimcfecmp	4	0.568584	0.000000
semimcfecmp	5	0.566619	0.000000
semimcfecmp	6	0.567166	0.000000
semimcfecmp	7	0.565679	0.000000
semimcfecmp	8	0.566994	0.000000
semimcfecmp	9	0.564872	0.000000
semimcfecmp	10	0.564859	0.000000
semimcfecmp	11	0.565816	0.000000
semimcfecmp	12	0.567599	0.000000
semimcfecmp	13	0.565899	0.000000
semimcfecmp	14	0.569255	0.000000
semimcfecmp	15	0.570761	0.000000
semimcfecmp	16	0.567751	0.000000
semimcfecmp	17	0.567723	0.000000
semimcfecmp	18	0.566012	0.000000
semimcfecmp	19	0.564117	0.000000
semimcfecmp	20	0.564230	0.000000
semimcfecmp	21	0.568215	0.000000
semimcfecmp	22	0.569916	0.000000
semimcfecmp	23	0.569627	0.000000
semimcfksp	0	1.000000	0.000000
semimcfksp	1	1.000000	0.000000
semimcfksp	2	0.706344	0.000000
semimcfksp	3	0.715243	0.000000
semimcfksp	4	0.713807	0.000000
semimcfksp	5	0.718428	0.000000
semimcfksp	6	0.718870	0.000000
semimcfksp	7	0.717972	0.000000
semimcfksp	8	0.717385	0.000000
semimcfksp	9	0.705271	0.000000
semimcfksp	10	0.704247	0.000000
semimcfksp	11	0.704831	0.000000
semimcfksp	12	0.716406	0.000000
semimcfksp	13	0.712777	0.000000
semimcfksp	14	0.710596	0.000000
semimcfksp	15	0.719353	0.000000
semimcfksp	16	0.717653	0.000000
semimcfksp	17	0.717634	0.000000
semimcfksp	18	0.712746	0.000000
semimcfksp	19	0.703759	0.000000
semimcfksp	20	0.703859	0.000000
semimcfksp	21	0.705288	0.000000
semimcfksp	22	0.706126	0.000000
semimcfksp	23	0.705937	0.000000
semimcfmcf	0	1.000000	0.000000
semimcfmcf	1	1.000000	0.000000
semimcfmcf	2	0.696763	0.000000
semimcfmcf	3	0.699386	0.000000
semimcfmcf	4	0.697942	0.000000
semimcfmcf	5	0.697790	0.000000
semimcfmcf	6	0.698403	0.000000
semimcfmcf	7	0.696900	0.000000
semimcfmcf	8	0.697550	0.000000
semimcfmcf	9	0.696407	0.000000
semimcfmcf	10	0.695423	0.000000
semimcfmcf	11	0.695798	0.000000
semimcfmcf	12	0.696800	0.000000
semimcfmcf	13	0.696869	0.000000
semimcfmcf	14	0.698394	0.000000
semimcfmcf	15	0.698833	0.000000
semimcfmcf	16	0.697353	0.000000
semimcfmcf	17	0.697321	0.000000
semimcfmcf	18	0.696661	0.000000
semimcfmcf	19	0.695102	0.000000
semimcfmcf	20	0.695263	0.000000
semimcfmcf	21	0.696639	0.000000
semimcfmcf	22	0.697903	0.000000
semimcfmcf	23	0.698270	0.000000
semimcfraeke	0	1.000000	0.000000
semimcfraeke	1	1.000000	0.000000
semimcfraeke	2	0.791950	0.000000
semimcfraeke	3	0.732531	0.000000
semimcfraeke	4	0.733828	0.000000
semimcfraeke	5	0.800862	0.000000
semimcfraeke	6	0.799489	0.000000
semimcfraeke	7	0.803785	0.000000
semimcfraeke	8	0.798780	0.000000
semimcfraeke	9	0.796308	0.000000
semimcfraeke	10	0.795938	0.000000
semimcfraeke	11	0.801376	0.000000
semimcfraeke	12	0.790661	0.000000
semimcfraeke	13	0.729265	0.000000
semimcfraeke	14	0.790655	0.000000
semimcfraeke	15	0.792464	0.000000
semimcfraeke	16	0.793047	0.000000
semimcfraeke	17	0.793196	0.000000
semimcfraeke	18	0.729510	0.000000
semimcfraeke	19	0.803482	0.000000
semimcfraeke	20	0.804568	0.000000
semimcfraeke	21	0.804152	0.000000
semimcfraeke	22	0.799934	0.000000
semimcfraeke	23	0.800619	0.000000
semimcfvlb	0	1.000000	0.000000
semimcfvlb	1	1.000000	0.000000
semimcfvlb	2	0.705922	0.000000
semimcfvlb	3	0.716123	0.000000
semimcfvlb	4	0.714894	0.000000
semimcfvlb	5	0.729450	0.000000
semimcfvlb	6	0.729780	0.000000
semimcfvlb	7	0.713687	0.000000
semimcfvlb	8	0.728468	0.000000
semimcfvlb	9	0.704687	0.000000
semimcfvlb	10	0.703651	0.000000
semimcfvlb	11	0.704172	0.000000
semimcfvlb	12	0.727805	0.000000
semimcfvlb	13	0.713036	0.000000
semimcfvlb	14	0.715410	0.000000
semimcfvlb	15	0.730669	0.000000
semimcfvlb	16	0.729085	0.000000
semimcfvlb	17	0.729074	0.000000
semimcfvlb	18	0.713654	0.000000
semimcfvlb	19	0.703314	0.000000
semimcfvlb	20	0.703441	0.000000
semimcfvlb	21	0.704866	0.000000
semimcfvlb	22	0.705735	0.000000
semimcfvlb	23	0.705540	0.000000
spf	0	1.000000	0.000000
spf	1	1.000000	0.000000
spf	2	0.567418	0.000000
spf	3	0.570650	0.000000
spf	4	0.568584	0.000000
spf	5	0.567658	0.000000
spf	6	0.568194	0.000000
spf	7	0.565679	0.000000
spf	8	0.566994	0.000000
spf	9	0.564872	0.000000
spf	10	0.564859	0.000000
spf	11	0.565816	0.000000
spf	12	0.567599	0.000000
spf	13	0.566782	0.000000
spf	14	0.570374	0.000000
spf	15	0.571885	0.000000
spf	16	0.568885	0.000000
spf	17	0.568857	0.000000
spf	18	0.566974	0.000000
