# solver	iter	.0.700000-congestion	stddev
akecmp	0	0.023283	0.000000
akecmp	1	0.023283	0.000000
akmcf	0	0.517401	0.000000
akmcf	1	0.517401	0.000000
akraeke	0	0.649080	0.000000
akraeke	1	0.649080	0.000000
akvlb	0	0.465661	0.000000
akvlb	1	0.465661	0.000000
ecmp	0	0.023283	0.000000
ecmp	1	0.023283	0.000000
mcf	0	0.776102	0.000000
mcf	1	0.776102	0.000000
mwmcf	0	0.023283	0.000000
mwmcf	1	0.023283	0.000000
raeke	0	0.664473	0.000000
raeke	1	0.664473	0.000000
semimcfecmp	0	0.023283	0.000000
semimcfecmp	1	0.023283	0.000000
semimcfmcf	0	0.554359	0.000000
semimcfmcf	1	0.554359	0.000000
semimcfraeke	0	0.776102	0.000000
semimcfraeke	1	0.776102	0.000000
semimcfvlb	0	0.015522	0.000000
semimcfvlb	1	0.015522	0.000000
spf	0	0.023283	0.000000
spf	1	0.023283	0.000000
vlb	0	0.465661	0.000000
vlb	1	0.465661	0.000000

