# solver	iter	max-congestion	stddev
ecmp	0	1.000000	0.000000
ecmp	1	1.000000	0.000000
ecmp	2	0.390811	0.000000
ecmp	3	0.341952	0.000000
ecmp	4	0.307283	0.000000
ecmp	5	0.319622	0.000000
ecmp	6	0.294719	0.000000
ecmp	7	0.300493	0.000000
ecmp	8	0.319355	0.000000
ecmp	9	0.329919	0.000000
ecmp	10	0.334822	0.000000
ecmp	11	0.339101	0.000000
ecmp	12	0.373032	0.000000
ecmp	13	0.369223	0.000000
ecmp	14	0.385309	0.000000
ecmp	15	0.345286	0.000000
ecmp	16	0.343246	0.000000
ecmp	17	0.397399	0.000000
ecmp	18	0.399489	0.000000
ecmp	19	0.413431	0.000000
ecmp	20	0.420742	0.000000
ecmp	21	0.397486	0.000000
ecmp	22	0.424433	0.000000
ecmp	23	0.431546	0.000000
ksp	0	1.000000	0.000000
ksp	1	1.000000	0.000000
ksp	2	0.995141	0.000000
ksp	3	0.982751	0.000000
ksp	4	0.979435	0.000000
ksp	5	0.981456	0.000000
ksp	6	0.978808	0.000000
ksp	7	0.979068	0.000000
ksp	8	0.980704	0.000000
ksp	9	0.981991	0.000000
ksp	10	0.982677	0.000000
ksp	11	0.983305	0.000000
ksp	12	0.985738	0.000000
ksp	13	0.989339	0.000000
ksp	14	0.995065	0.000000
ksp	15	0.983004	0.000000
ksp	16	0.982826	0.000000
ksp	17	0.995802	0.000000
ksp	18	0.996308	0.000000
ksp	19	0.996963	0.000000
ksp	20	0.997412	0.000000
ksp	21	0.995672	0.000000
ksp	22	0.997564	0.000000
ksp	23	0.998006	0.000000
mcf	0	0.800000	0.000000
mcf	1	0.786650	0.000000
mcf	2	0.858103	0.000000
mcf	3	0.955372	0.000000
mcf	4	0.657565	0.000000
mcf	5	0.719645	0.000000
mcf	6	0.634342	0.000000
mcf	7	0.631013	0.000000
mcf	8	0.678459	0.000000
mcf	9	0.748055	0.000000
mcf	10	0.751004	0.000000
mcf	11	0.766204	0.000000
mcf	12	0.822177	0.000000
mcf	13	0.772629	0.000000
mcf	14	0.775371	0.000000
mcf	15	0.753616	0.000000
mcf	16	0.749536	0.000000
mcf	17	0.905129	0.000000
mcf	18	0.878992	0.000000
mcf	19	0.932956	0.000000
mcf	20	0.885126	0.000000
mcf	21	0.887472	0.000000
mcf	22	0.934243	0.000000
mcf	23	0.962402	0.000000
raeke	0	1.000000	0.000000
raeke	1	1.000000	0.000000
raeke	2	0.984683	0.000000
raeke	3	0.980123	0.000000
raeke	4	0.977063	0.000000
raeke	5	0.978922	0.000000
raeke	6	0.976457	0.000000
raeke	7	0.976732	0.000000
raeke	8	0.978239	0.000000
raeke	9	0.979431	0.000000
raeke	10	0.980096	0.000000
raeke	11	0.980666	0.000000
raeke	12	0.982920	0.000000
raeke	13	0.983551	0.000000
raeke	14	0.983968	0.000000
raeke	15	0.980308	0.000000
raeke	16	0.980143	0.000000
raeke	17	0.989038	0.000000
raeke	18	0.989458	0.000000
raeke	19	0.989746	0.000000
raeke	20	0.990039	0.000000
raeke	21	0.988730	0.000000
raeke	22	0.990295	0.000000
raeke	23	0.990625	0.000000
semimcfecmp	0	1.000000	0.000000
semimcfecmp	1	1.000000	0.000000
semimcfecmp	2	0.377726	0.000000
semimcfecmp	3	0.330768	0.000000
semimcfecmp	4	0.295628	0.000000
semimcfecmp	5	0.312486	0.000000
semimcfecmp	6	0.287493	0.000000
semimcfecmp	7	0.293243	0.000000
semimcfecmp	8	0.311195	0.000000
semimcfecmp	9	0.322053	0.000000
semimcfecmp	10	0.326823	0.000000
semimcfecmp	11	0.333729	0.000000
semimcfecmp	12	0.364005	0.000000
semimcfecmp	13	0.361727	0.000000
semimcfecmp	14	0.375689	0.000000
semimcfecmp	15	0.341954	0.000000
semimcfecmp	16	0.331771	0.000000
semimcfecmp	17	0.384113	0.000000
semimcfecmp	18	0.387059	0.000000
semimcfecmp	19	0.400580	0.000000
semimcfecmp	20	0.407518	0.000000
semimcfecmp	21	0.384989	0.000000
semimcfecmp	22	0.412024	0.000000
semimcfecmp	23	0.418347	0.000000
semimcfksp	0	0.800000	0.000000
semimcfksp	1	0.786650	0.000000
semimcfksp	2	0.992007	0.000000
semimcfksp	3	0.987534	0.000000
semimcfksp	4	0.983648	0.000000
semimcfksp	5	0.984166	0.000000
semimcfksp	6	0.981250	0.000000
semimcfksp	7	0.986458	0.000000
semimcfksp	8	0.983341	0.000000
semimcfksp	9	0.985991	0.000000
semimcfksp	10	0.986666	0.000000
semimcfksp	11	0.986796	0.000000
semimcfksp	12	0.988830	0.000000
semimcfksp	13	0.991509	0.000000
semimcfksp	14	0.989236	0.000000
semimcfksp	15	0.985787	0.000000
semimcfksp	16	0.985593	0.000000
semimcfksp	17	0.991188	0.000000
semimcfksp	18	0.993786	0.000000
semimcfksp	19	0.994334	0.000000
semimcfksp	20	0.994908	0.000000
semimcfksp	21	0.992126	0.000000
semimcfksp	22	0.994817	0.000000
semimcfksp	23	0.995307	0.000000
semimcfmcf	0	0.800000	0.000000
semimcfmcf	1	0.786650	0.000000
semimcfmcf	2	0.869648	0.000000
semimcfmcf	3	0.765068	0.000000
semimcfmcf	4	0.687834	0.000000
semimcfmcf	5	0.732579	0.000000
semimcfmcf	6	0.667818	0.000000
semimcfmcf	7	0.676006	0.000000
semimcfmcf	8	0.714266	0.000000
semimcfmcf	9	0.747977	0.000000
semimcfmcf	10	0.764639	0.000000
semimcfmcf	11	0.780116	0.000000
semimcfmcf	12	0.836826	0.000000
semimcfmcf	13	0.848188	0.000000
semimcfmcf	14	0.862358	0.000000
semimcfmcf	15	0.766782	0.000000
semimcfmcf	16	0.763011	0.000000
semimcfmcf	17	0.882349	0.000000
semimcfmcf	18	0.901403	0.000000
semimcfmcf	19	0.933671	0.000000
semimcfmcf	20	0.947697	0.000000
semimcfmcf	21	0.887937	0.000000
semimcfmcf	22	0.950575	0.000000
semimcfmcf	23	0.962520	0.000000
semimcfraeke	0	0.800000	0.000000
semimcfraeke	1	0.786650	0.000000
semimcfraeke	2	0.993545	0.000000
semimcfraeke	3	0.986702	0.000000
semimcfraeke	4	0.982989	0.000000
semimcfraeke	5	0.988584	0.000000
semimcfraeke	6	0.985330	0.000000
semimcfraeke	7	0.985940	0.000000
semimcfraeke	8	0.987675	0.000000
semimcfraeke	9	0.989856	0.000000
semimcfraeke	10	0.990414	0.000000
semimcfraeke	11	0.990827	0.000000
semimcfraeke	12	0.992521	0.000000
semimcfraeke	13	0.990835	0.000000
semimcfraeke	14	0.993258	0.000000
semimcfraeke	15	0.990295	0.000000
semimcfraeke	16	0.990077	0.000000
semimcfraeke	17	0.993860	0.000000
semimcfraeke	18	0.993391	0.000000
semimcfraeke	19	0.995307	0.000000
semimcfraeke	20	0.995732	0.000000
semimcfraeke	21	0.994001	0.000000
semimcfraeke	22	0.995644	0.000000
semimcfraeke	23	0.996012	0.000000
semimcfvlb	0	0.800000	0.000000
semimcfvlb	1	0.786650	0.000000
semimcfvlb	2	0.993545	0.000000
semimcfvlb	3	0.984773	0.000000
semimcfvlb	4	0.981256	0.000000
semimcfvlb	5	0.984810	0.000000
semimcfvlb	6	0.981956	0.000000
semimcfvlb	7	0.986396	0.000000
semimcfvlb	8	0.988460	0.000000
semimcfvlb	9	0.989769	0.000000
semimcfvlb	10	0.990326	0.000000
semimcfvlb	11	0.990827	0.000000
semimcfvlb	12	0.992521	0.000000
semimcfvlb	13	0.988819	0.000000
semimcfvlb	14	0.989229	0.000000
semimcfvlb	15	0.984969	0.000000
semimcfvlb	16	0.984779	0.000000
semimcfvlb	17	0.990243	0.000000
semimcfvlb	18	0.991322	0.000000
semimcfvlb	19	0.995307	0.000000
semimcfvlb	20	0.995732	0.000000
semimcfvlb	21	0.994001	0.000000
semimcfvlb	22	0.995644	0.000000
semimcfvlb	23	0.996012	0.000000
spf	0	1.000000	0.000000
spf	1	1.000000	0.000000
spf	2	0.453956	0.000000
spf	3	0.396795	0.000000
spf	4	0.353258	0.000000
spf	5	0.380146	0.000000
spf	6	0.349930	0.000000
spf	7	0.352434	0.000000
spf	8	0.378806	0.000000
spf	9	0.392768	0.000000
spf	10	0.398586	0.000000
spf	11	0.409326	0.000000
spf	12	0.441359	0.000000
spf	13	0.443335	0.000000
spf	14	0.455494	0.000000
spf	15	0.419184	0.000000
spf	16	0.399861	0.000000
spf	17	0.462945	0.000000
spf	18	0.469553	0.000000
