# solver	iter	.0.600000-congestion	stddev
ecmp	0	0.185609	0.000000
ecmp	1	0.183397	0.000000
ecmp	2	0.155930	0.000000
ecmp	3	0.139386	0.000000
ecmp	4	0.124250	0.000000
ecmp	5	0.132602	0.000000
ecmp	6	0.120577	0.000000
ecmp	7	0.122742	0.000000
ecmp	8	0.134331	0.000000
ecmp	9	0.136750	0.000000
ecmp	10	0.138696	0.000000
ecmp	11	0.133965	0.000000
ecmp	12	0.143829	0.000000
ecmp	13	0.147140	0.000000
ecmp	14	0.150336	0.000000
ecmp	15	0.132302	0.000000
ecmp	16	0.131435	0.000000
ecmp	17	0.152170	0.000000
ecmp	18	0.161180	0.000000
ecmp	19	0.167026	0.000000
ecmp	20	0.169438	0.000000
ecmp	21	0.160414	0.000000
ecmp	22	0.172186	0.000000
ecmp	23	0.174239	0.000000
ksp	0	0.316394	0.000000
ksp	1	0.309520	0.000000
ksp	2	0.328451	0.000000
ksp	3	0.290914	0.000000
ksp	4	0.260245	0.000000
ksp	5	0.278238	0.000000
ksp	6	0.254822	0.000000
ksp	7	0.254319	0.000000
ksp	8	0.272648	0.000000
ksp	9	0.288643	0.000000
ksp	10	0.289123	0.000000
ksp	11	0.291226	0.000000
ksp	12	0.316815	0.000000
ksp	13	0.325763	0.000000
ksp	14	0.328703	0.000000
ksp	15	0.297337	0.000000
ksp	16	0.291269	0.000000
ksp	17	0.326945	0.000000
ksp	18	0.332168	0.000000
ksp	19	0.337439	0.000000
ksp	20	0.342112	0.000000
ksp	21	0.335011	0.000000
ksp	22	0.347110	0.000000
ksp	23	0.352016	0.000000
mcf	0	0.209632	0.000000
mcf	1	0.231981	0.000000
mcf	2	0.203369	0.000000
mcf	3	0.187238	0.000000
mcf	4	0.171796	0.000000
mcf	5	0.170654	0.000000
mcf	6	0.179426	0.000000
mcf	7	0.195575	0.000000
mcf	8	0.202262	0.000000
mcf	9	0.173390	0.000000
mcf	10	0.176047	0.000000
mcf	11	0.179712	0.000000
mcf	12	0.193753	0.000000
mcf	13	0.212002	0.000000
mcf	14	0.207024	0.000000
mcf	15	0.181727	0.000000
mcf	16	0.179418	0.000000
mcf	17	0.211406	0.000000
mcf	18	0.212013	0.000000
mcf	19	0.217797	0.000000
mcf	20	0.234203	0.000000
mcf	21	0.212892	0.000000
mcf	22	0.223354	0.000000
mcf	23	0.227004	0.000000
raeke	0	0.276402	0.000000
raeke	1	0.270910	0.000000
raeke	2	0.270605	0.000000
raeke	3	0.248121	0.000000
raeke	4	0.231176	0.000000
raeke	5	0.245131	0.000000
raeke	6	0.217449	0.000000
raeke	7	0.212869	0.000000
raeke	8	0.229953	0.000000
raeke	9	0.245973	0.000000
raeke	10	0.240051	0.000000
raeke	11	0.243756	0.000000
raeke	12	0.263461	0.000000
raeke	13	0.266956	0.000000
raeke	14	0.275010	0.000000
raeke	15	0.248913	0.000000
raeke	16	0.244807	0.000000
raeke	17	0.283429	0.000000
raeke	18	0.289306	0.000000
raeke	19	0.295748	0.000000
raeke	20	0.299824	0.000000
raeke	21	0.283257	0.000000
raeke	22	0.307030	0.000000
raeke	23	0.311945	0.000000
semimcfecmp	0	0.133477	0.000000
semimcfecmp	1	0.141969	0.000000
semimcfecmp	2	0.133665	0.000000
semimcfecmp	3	0.124398	0.000000
semimcfecmp	4	0.112633	0.000000
semimcfecmp	5	0.119747	0.000000
semimcfecmp	6	0.109666	0.000000
semimcfecmp	7	0.107865	0.000000
semimcfecmp	8	0.111469	0.000000
semimcfecmp	9	0.114631	0.000000
semimcfecmp	10	0.114837	0.000000
semimcfecmp	11	0.116047	0.000000
semimcfecmp	12	0.125069	0.000000
semimcfecmp	13	0.139244	0.000000
semimcfecmp	14	0.140793	0.000000
semimcfecmp	15	0.121258	0.000000
semimcfecmp	16	0.119869	0.000000
semimcfecmp	17	0.137204	0.000000
semimcfecmp	18	0.140385	0.000000
semimcfecmp	19	0.136317	0.000000
semimcfecmp	20	0.151447	0.000000
semimcfecmp	21	0.141877	0.000000
semimcfecmp	22	0.136875	0.000000
semimcfecmp	23	0.138104	0.000000
semimcfksp	0	0.205781	0.000000
semimcfksp	1	0.240889	0.000000
semimcfksp	2	0.202263	0.000000
semimcfksp	3	0.181152	0.000000
semimcfksp	4	0.163282	0.000000
semimcfksp	5	0.174512	0.000000
semimcfksp	6	0.158680	0.000000
semimcfksp	7	0.157991	0.000000
semimcfksp	8	0.168452	0.000000
semimcfksp	9	0.174857	0.000000
semimcfksp	10	0.176219	0.000000
semimcfksp	11	0.173010	0.000000
semimcfksp	12	0.193749	0.000000
semimcfksp	13	0.198016	0.000000
semimcfksp	14	0.201732	0.000000
semimcfksp	15	0.175531	0.000000
semimcfksp	16	0.180162	0.000000
semimcfksp	17	0.208585	0.000000
semimcfksp	18	0.212899	0.000000
semimcfksp	19	0.214227	0.000000
semimcfksp	20	0.221729	0.000000
