# solver	iter	edge-congestion
akecmp	0	
		(s0,s1) : 0.099784561526
		(s0,s5) : 0.099784561526
		(s1,s0) : 0.099784561526
		(s1,s2) : 0.57653302215
		(s1,s6) : 0.476748460624
		(h0,s2) : 0.015522042904
		(s2,h0) : 0.015522042904
		(s2,s1) : 0.57653302215
		(s2,s3) : 0.332615205087
		(s2,s7) : 1.30828647334
		(s3,s2) : 0.332615205087
		(s3,s4) : 0.776102145202
		(s3,s8) : 0.443486940116
		(h1,s4) : 0.015522042904
		(s4,h1) : 0.015522042904
		(s4,s3) : 0.776102145202
		(s4,s9) : 0.776102145202
		(s5,s0) : 0.099784561526
		(s5,s6) : 0.373268174597
		(s5,s10) : 0.473052736123
		(s6,s1) : 0.476748460624
		(s6,s5) : 0.373268174597
		(s6,s7) : 1.23621984557
		(s6,s11) : 1.3397001316
		(h2,s7) : 0.015522042904
		(s7,h2) : 0.015522042904
		(s7,s2) : 1.30828647334
		(s7,s6) : 1.23621984557
		(s7,s8) : 0.443486940116
		(s7,s12) : 2.06775785829
		(s8,s3) : 0.443486940116
		(s8,s7) : 0.443486940116
		(s8,s9) : 0.443486940116
		(s8,s13) : 0.443486940116
		(s9,s4) : 0.776102145202
		(s9,s8) : 0.443486940116
		(s9,s14) : 0.332615205087
		(s10,s5) : 0.473052736123
		(s10,s11) : 0.713274828686
		(s10,s15) : 1.18632756481
		(s11,s6) : 1.3397001316
		(s11,s10) : 0.713274828686
		(s11,s12) : 1.16230535555
		(s11,s16) : 1.78873065847
		(s12,s7) : 2.06775785829
		(s12,s11) : 1.16230535555
		(s12,s13) : 0.399138246104
		(s12,s17) : 1.30459074884
		(s13,s8) : 0.443486940116
		(s13,s12) : 0.399138246104
		(s13,s14) : 0.221743470058
		(s13,s18) : 0.266092164069
		(s14,s9) : 0.332615205087
		(s14,s13) : 0.221743470058
		(s14,s19) : 0.110871735029
		(h3,s15) : 0.0232830643561
		(s15,h3) : 0.0232830643561
		(s15,s10) : 1.18632756481
		(s15,s16) : 1.1419788708
		(s15,s20) : 0.
		(s16,s11) : 1.78873065847
		(s16,s15) : 1.1419788708
		(s16,s17) : 0.999693477511
		(s16,s21) : 1.64644526518
		(s17,s12) : 1.30459074884
		(s17,s16) : 0.999693477511
		(s17,s18) : 0.266092164069
		(s17,s22) : 0.570989435399
		(s18,s13) : 0.266092164069
		(s18,s17) : 0.266092164069
		(s18,s19) : 0.0886973880231
		(s18,s23) : 0.0886973880231
		(s19,s14) : 0.110871735029
		(s19,s18) : 0.0886973880231
		(s19,s24) : 0.0221743470058
		(s20,s15) : 0.
		(s20,s21) : 0.
		(h4,s21) : 0.0232830643561
		(s21,h4) : 0.0232830643561
		(s21,s16) : 1.64644526518
		(s21,s20) : 0.
		(s21,s22) : 0.681861170428
		(s22,s17) : 0.570989435399
		(s22,s21) : 0.681861170428
		(s22,s23) : 0.110871735029
