# solver	iter	mean-congestion	stddev
ecmp	0	0.105512	0.000000
ecmp	1	0.103092	0.000000
ecmp	2	0.068167	0.000000
ecmp	3	0.066576	0.000000
ecmp	4	0.065742	0.000000
ecmp	5	0.065828	0.000000
ecmp	6	0.068936	0.000000
ecmp	7	0.067522	0.000000
ecmp	8	0.067996	0.000000
ecmp	9	0.065063	0.000000
ksp	0	0.161094	0.000000
ksp	1	0.156824	0.000000
ksp	2	0.132400	0.000000
ksp	3	0.129051	0.000000
ksp	4	0.125618	0.000000
ksp	5	0.126615	0.000000
ksp	6	0.131160	0.000000
ksp	7	0.128458	0.000000
ksp	8	0.130415	0.000000
ksp	9	0.123702	0.000000
mcf	0	0.158337	0.000000
mcf	1	0.155173	0.000000
mcf	2	0.107547	0.000000
mcf	3	0.103445	0.000000
mcf	4	0.097890	0.000000
mcf	5	0.101139	0.000000
mcf	6	0.104473	0.000000
mcf	7	0.109068	0.000000
mcf	8	0.112707	0.000000
mcf	9	0.096933	0.000000
mwmcf	0	0.105512	0.000000
mwmcf	1	0.103092	0.000000
mwmcf	2	0.068218	0.000000
mwmcf	3	0.066626	0.000000
mwmcf	4	0.065787	0.000000
mwmcf	5	0.065871	0.000000
mwmcf	6	0.068988	0.000000
mwmcf	7	0.067574	0.000000
mwmcf	8	0.068045	0.000000
mwmcf	9	0.065115	0.000000
raeke	0	0.132321	0.000000
raeke	1	0.129125	0.000000
raeke	2	0.140042	0.000000
raeke	3	0.135929	0.000000
raeke	4	0.131722	0.000000
raeke	5	0.132525	0.000000
raeke	6	0.136004	0.000000
raeke	7	0.134008	0.000000
raeke	8	0.136217	0.000000
raeke	9	0.129512	0.000000
semimcfecmp	0	0.105512	0.000000
semimcfecmp	1	0.103092	0.000000
semimcfecmp	2	0.068218	0.000000
semimcfecmp	3	0.066626	0.000000
semimcfecmp	4	0.065787	0.000000
semimcfecmp	5	0.065871	0.000000
semimcfecmp	6	0.068988	0.000000
semimcfecmp	7	0.067574	0.000000
semimcfecmp	8	0.068045	0.000000
semimcfecmp	9	0.065115	0.000000
semimcfksp	0	0.129512	0.000000
semimcfksp	1	0.117715	0.000000
semimcfksp	2	0.121312	0.000000
semimcfksp	3	0.116254	0.000000
semimcfksp	4	0.114741	0.000000
semimcfksp	5	0.115793	0.000000
semimcfksp	6	0.119051	0.000000
semimcfksp	7	0.117475	0.000000
semimcfksp	8	0.115644	0.000000
semimcfksp	9	0.112172	0.000000
semimcfmcf	0	0.158544	0.000000
semimcfmcf	1	0.154313	0.000000
semimcfmcf	2	0.107113	0.000000
semimcfmcf	3	0.100753	0.000000
semimcfmcf	4	0.099188	0.000000
semimcfmcf	5	0.101710	0.000000
semimcfmcf	6	0.107202	0.000000
semimcfmcf	7	0.104537	0.000000
semimcfmcf	8	0.107713	0.000000
semimcfmcf	9	0.099073	0.000000
semimcfraeke	0	0.123839	0.000000
semimcfraeke	1	0.123154	0.000000
semimcfraeke	2	0.136198	0.000000
semimcfraeke	3	0.132259	0.000000
semimcfraeke	4	0.126190	0.000000
semimcfraeke	5	0.126323	0.000000
semimcfraeke	6	0.132236	0.000000
semimcfraeke	7	0.132087	0.000000
semimcfraeke	8	0.131499	0.000000
semimcfraeke	9	0.124198	0.000000
semimcfvlb	0	0.135951	0.000000
semimcfvlb	1	0.123902	0.000000
semimcfvlb	2	0.119980	0.000000
semimcfvlb	3	0.116850	0.000000
semimcfvlb	4	0.115939	0.000000
semimcfvlb	5	0.117514	0.000000
semimcfvlb	6	0.118947	0.000000
semimcfvlb	7	0.117228	0.000000
semimcfvlb	8	0.118117	0.000000
semimcfvlb	9	0.113252	0.000000
spf	0	0.105512	0.000000
spf	1	0.103092	0.000000
spf	2	0.068218	0.000000
spf	3	0.066626	0.000000
spf	4	0.065787	0.000000
spf	5	0.065871	0.000000
spf	6	0.068988	0.000000
spf	7	0.067574	0.000000
spf	8	0.068045	0.000000
spf	9	0.065115	0.000000
vlb	0	0.133013	0.000000
vlb	1	0.128597	0.000000
vlb	2	0.122220	0.000000
vlb	3	0.117175	0.000000
vlb	4	0.111590	0.000000
vlb	5	0.114911	0.000000
vlb	6	0.118420	0.000000
vlb	7	0.116977	0.000000
vlb	8	0.119168	0.000000
vlb	9	0.114483	0.000000

