# solver	iter	max-congestion	stddev
ecmp	0	0.497040	0.000000
ecmp	1	0.505403	0.000000
ecmp	2	0.292237	0.000000
ecmp	3	0.316170	0.000000
ecmp	4	0.316078	0.000000
ecmp	5	0.293278	0.000000
ecmp	6	0.308176	0.000000
ecmp	7	0.300973	0.000000
ecmp	8	0.298969	0.000000
ecmp	9	0.309115	0.000000
ksp	0	0.607517	0.000000
ksp	1	0.613837	0.000000
ksp	2	0.601048	0.000000
ksp	3	0.624619	0.000000
ksp	4	0.613705	0.000000
ksp	5	0.573147	0.000000
ksp	6	0.577228	0.000000
ksp	7	0.565115	0.000000
ksp	8	0.562311	0.000000
ksp	9	0.579723	0.000000
mcf	0	0.400000	0.000000
mcf	1	0.400077	0.000000
mcf	2	0.488007	0.000000
mcf	3	0.493889	0.000000
mcf	4	0.447877	0.000000
mcf	5	0.440100	0.000000
mcf	6	0.436210	0.000000
mcf	7	0.428616	0.000000
mcf	8	0.432075	0.000000
mcf	9	0.427674	0.000000
mwmcf	0	0.492178	0.000000
mwmcf	1	0.500368	0.000000
mwmcf	2	0.293102	0.000000
mwmcf	3	0.317049	0.000000
mwmcf	4	0.316851	0.000000
mwmcf	5	0.294037	0.000000
mwmcf	6	0.308888	0.000000
mwmcf	7	0.301596	0.000000
mwmcf	8	0.299491	0.000000
mwmcf	9	0.310027	0.000000
raeke	0	0.467777	0.000000
raeke	1	0.472424	0.000000
raeke	2	0.719496	0.000000
raeke	3	0.731552	0.000000
raeke	4	0.716421	0.000000
raeke	5	0.677682	0.000000
raeke	6	0.680075	0.000000
raeke	7	0.669060	0.000000
raeke	8	0.666988	0.000000
raeke	9	0.683578	0.000000
semimcfecmp	0	0.492178	0.000000
semimcfecmp	1	0.500368	0.000000
semimcfecmp	2	0.293102	0.000000
semimcfecmp	3	0.317049	0.000000
semimcfecmp	4	0.316851	0.000000
semimcfecmp	5	0.294037	0.000000
semimcfecmp	6	0.308888	0.000000
semimcfecmp	7	0.301596	0.000000
semimcfecmp	8	0.299491	0.000000
semimcfecmp	9	0.310027	0.000000
semimcfksp	0	0.400000	0.000000
semimcfksp	1	0.400077	0.000000
semimcfksp	2	0.605322	0.000000
semimcfksp	3	0.628203	0.000000
semimcfksp	4	0.617293	0.000000
semimcfksp	5	0.575728	0.000000
semimcfksp	6	0.578640	0.000000
semimcfksp	7	0.567275	0.000000
semimcfksp	8	0.556920	0.000000
semimcfksp	9	0.582242	0.000000
semimcfmcf	0	0.400000	0.000000
semimcfmcf	1	0.400077	0.000000
semimcfmcf	2	0.464840	0.000000
semimcfmcf	3	0.454409	0.000000
semimcfmcf	4	0.448373	0.000000
semimcfmcf	5	0.442805	0.000000
semimcfmcf	6	0.453395	0.000000
semimcfmcf	7	0.448193	0.000000
semimcfmcf	8	0.464797	0.000000
semimcfmcf	9	0.449232	0.000000
semimcfraeke	0	0.400000	0.000000
semimcfraeke	1	0.400077	0.000000
semimcfraeke	2	0.716817	0.000000
semimcfraeke	3	0.727963	0.000000
semimcfraeke	4	0.712208	0.000000
semimcfraeke	5	0.672952	0.000000
semimcfraeke	6	0.674381	0.000000
semimcfraeke	7	0.663794	0.000000
semimcfraeke	8	0.660534	0.000000
semimcfraeke	9	0.677562	0.000000
semimcfvlb	0	0.400000	0.000000
semimcfvlb	1	0.400077	0.000000
semimcfvlb	2	0.591525	0.000000
semimcfvlb	3	0.611912	0.000000
semimcfvlb	4	0.601575	0.000000
semimcfvlb	5	0.563519	0.000000
semimcfvlb	6	0.566327	0.000000
semimcfvlb	7	0.553498	0.000000
semimcfvlb	8	0.546318	0.000000
semimcfvlb	9	0.569107	0.000000
spf	0	0.492178	0.000000
spf	1	0.500368	0.000000
spf	2	0.293102	0.000000
spf	3	0.317049	0.000000
spf	4	0.316851	0.000000
spf	5	0.294037	0.000000
spf	6	0.308888	0.000000
spf	7	0.301596	0.000000
spf	8	0.299491	0.000000
spf	9	0.310027	0.000000
vlb	0	0.622055	0.000000
vlb	1	0.619497	0.000000
vlb	2	0.559197	0.000000
vlb	3	0.580038	0.000000
vlb	4	0.549694	0.000000
vlb	5	0.534398	0.000000
vlb	6	0.551163	0.000000
vlb	7	0.545752	0.000000
vlb	8	0.564784	0.000000
vlb	9	0.552941	0.000000

